country_region_code,country_region,sub_region_1,sub_region_2,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ES,Spain,Community of Madrid,,ES-MD,2020-02-15,-1,-2,31,7,-1,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-16,3,4,34,4,0,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-17,1,3,10,4,4,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-18,-1,1,11,4,4,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-19,-1,1,18,2,4,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-20,-2,1,18,3,3,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-21,-2,1,22,5,4,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-22,-3,-1,53,10,1,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-23,4,6,56,6,2,-4
ES,Spain,Community of Madrid,,ES-MD,2020-02-24,4,6,35,6,4,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-25,-2,6,15,4,4,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-26,2,6,17,3,4,-1
ES,Spain,Community of Madrid,,ES-MD,2020-02-27,4,6,22,6,3,-2
ES,Spain,Community of Madrid,,ES-MD,2020-02-28,0,3,29,1,-12,0
ES,Spain,Community of Madrid,,ES-MD,2020-02-29,-9,-1,-6,-3,-2,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-01,-4,1,-18,-4,1,-2
ES,Spain,Community of Madrid,,ES-MD,2020-03-02,0,2,-13,-5,-15,1
ES,Spain,Community of Madrid,,ES-MD,2020-03-03,-6,4,-6,0,3,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-04,-2,5,10,1,3,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-05,-4,3,-5,-2,3,0
ES,Spain,Community of Madrid,,ES-MD,2020-03-06,-4,4,-3,-1,1,0
ES,Spain,Community of Madrid,,ES-MD,2020-03-07,-4,1,17,2,-1,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-08,-1,5,24,2,-1,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-09,-1,13,19,0,1,-1
ES,Spain,Community of Madrid,,ES-MD,2020-03-10,-7,46,15,-7,-1,0
ES,Spain,Community of Madrid,,ES-MD,2020-03-11,-16,22,25,-21,-21,8
ES,Spain,Community of Madrid,,ES-MD,2020-03-12,-32,22,-1,-33,-28,12
ES,Spain,Community of Madrid,,ES-MD,2020-03-13,-47,29,-33,-46,-37,17
ES,Spain,Community of Madrid,,ES-MD,2020-03-14,-82,-15,-56,-65,-46,18
ES,Spain,Community of Madrid,,ES-MD,2020-03-15,-89,-42,-83,-77,-53,19
ES,Spain,Community of Madrid,,ES-MD,2020-03-16,-82,-35,-80,-75,-65,29
ES,Spain,Community of Madrid,,ES-MD,2020-03-17,-85,-38,-82,-79,-69,31
ES,Spain,Community of Madrid,,ES-MD,2020-03-18,-86,-39,-82,-81,-71,33
ES,Spain,Community of Madrid,,ES-MD,2020-03-19,-87,-41,-83,-82,-73,35
ES,Spain,Community of Madrid,,ES-MD,2020-03-20,-89,-43,-86,-83,-73,38
ES,Spain,Community of Madrid,,ES-MD,2020-03-21,-93,-55,-92,-87,-66,26
ES,Spain,Community of Madrid,,ES-MD,2020-03-22,-93,-66,-92,-88,-66,23
ES,Spain,Community of Madrid,,ES-MD,2020-03-23,-86,-47,-85,-83,-75,33
ES,Spain,Community of Madrid,,ES-MD,2020-03-24,-88,-50,-86,-84,-76,35
ES,Spain,Community of Madrid,,ES-MD,2020-03-25,-89,-52,-86,-85,-77,36
ES,Spain,Community of Madrid,,ES-MD,2020-03-26,-89,-52,-86,-85,-77,37
ES,Spain,Community of Madrid,,ES-MD,2020-03-27,-90,-51,-88,-86,-77,40
ES,Spain,Community of Madrid,,ES-MD,2020-03-28,-93,-57,-91,-87,-68,27
