dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
21/09/2020,21,9,2020,31428,168,Spain,ES,ESP,46937060,Europe,310.88227511
20/09/2020,20,9,2020,0,0,Spain,ES,ESP,46937060,Europe,300.51093954
19/09/2020,19,9,2020,0,0,Spain,ES,ESP,46937060,Europe,300.51093954
18/09/2020,18,9,2020,14389,90,Spain,ES,ESP,46937060,Europe,300.51093954
17/09/2020,17,9,2020,11291,162,Spain,ES,ESP,46937060,Europe,292.17424355
16/09/2020,16,9,2020,11193,239,Spain,ES,ESP,46937060,Europe,287.20588806
15/09/2020,15,9,2020,9437,156,Spain,ES,ESP,46937060,Europe,281.64098902
14/09/2020,14,9,2020,27404,101,Spain,ES,ESP,46937060,Europe,278.8244513
13/09/2020,13,9,2020,0,0,Spain,ES,ESP,46937060,Europe,270.66032683
12/09/2020,12,9,2020,0,0,Spain,ES,ESP,46937060,Europe,270.66032683
11/09/2020,11,9,2020,12183,48,Spain,ES,ESP,46937060,Europe,270.66032683
10/09/2020,10,9,2020,10764,71,Spain,ES,ESP,46937060,Europe,265.53857442
09/09/2020,9,9,2020,8866,34,Spain,ES,ESP,46937060,Europe,263.18222743
08/09/2020,8,9,2020,8964,78,Spain,ES,ESP,46937060,Europe,259.83732258
07/09/2020,7,9,2020,26560,98,Spain,ES,ESP,46937060,Europe,255.90226571
06/09/2020,6,9,2020,0,0,Spain,ES,ESP,46937060,Europe,240.60944593
05/09/2020,5,9,2020,0,0,Spain,ES,ESP,46937060,Europe,240.60944593
04/09/2020,4,9,2020,10476,184,Spain,ES,ESP,46937060,Europe,240.60944593
03/09/2020,3,9,2020,8959,40,Spain,ES,ESP,46937060,Europe,235.64961248
02/09/2020,2,9,2020,8581,42,Spain,ES,ESP,46937060,Europe,231.5590282
01/09/2020,1,9,2020,8115,58,Spain,ES,ESP,46937060,Europe,227.48974904
31/08/2020,31,8,2020,23572,83,Spain,ES,ESP,46937060,Europe,221.09608058
30/08/2020,30,8,2020,0,0,Spain,ES,ESP,46937060,Europe,205.53694671
29/08/2020,29,8,2020,0,0,Spain,ES,ESP,46937060,Europe,205.53694671
28/08/2020,28,8,2020,9779,15,Spain,ES,ESP,46937060,Europe,205.53694671
27/08/2020,27,8,2020,9658,25,Spain,ES,ESP,46937060,Europe,196.37574232
26/08/2020,26,8,2020,7296,47,Spain,ES,ESP,46937060,Europe,191.88462166
