DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,1,11,0
03/01/2020,0,4,0
03/02/2020,0,21,0
03/03/2020,2,20,0
03/04/2020,5,22,0
03/05/2020,3,20,0
03/06/2020,8,18,0
03/07/2020,7,15,0
03/08/2020,21,17,0
03/09/2020,58,49,0
03/10/2020,70,63,0
03/11/2020,155,90,1
03/12/2020,357,92,0
03/13/2020,620,156,0
03/14/2020,643,159,2
03/15/2020,1037,189,5
03/16/2020,2122,317,8
03/17/2020,2453,357,8
03/18/2020,2974,470,21
03/19/2020,3707,559,24
03/20/2020,4008,662,47
03/21/2020,2638,701,44
03/22/2020,2580,727,50
03/23/2020,3572,1036,82
03/24/2020,4508,1159,95
03/25/2020,4871,1304,124
03/26/2020,5051,1452,190
03/27/2020,5123,1392,218
03/28/2020,3476,1364,274
03/29/2020,3561,1408,292
03/30/2020,6133,1719,325
03/31/2020,5467,1695,385
04/01/2020,5459,1595,447
04/02/2020,5762,1618,499
04/03/2020,5675,1602,499
04/04/2020,3867,1344,512
04/05/2020,3792,1328,580
04/06/2020,6372,1721,575
04/07/2020,6061,1604,599
04/08/2020,5585,1540,569
04/09/2020,5072,1426,561
04/10/2020,4517,1337,540
04/11/2020,3731,1099,543
04/12/2020,2890,995,572
04/13/2020,3313,1213,571
04/14/2020,4147,1088,510
04/15/2020,3878,981,455
04/16/2020,3529,881,414
04/17/2020,3584,901,385
04/18/2020,2173,665,390
04/19/2020,2346,592,400
04/20/2020,3793,725,364
04/21/2020,3065,660,324
04/22/2020,3461,598,313
04/23/2020,2843,532,332
04/24/2020,2539,550,316
04/25/2020,1595,403,266
04/26/2020,1003,374,246
04/27/2020,2297,444,271
04/28/2020,2730,445,228
04/29/2020,2342,407,240
04/30/2020,2024,345,225
05/01/2020,1889,352,210
05/02/2020,1060,261,192
05/03/2020,785,256,178
05/04/2020,1551,311,159
05/05/2020,1513,283,151
05/06/2020,1402,262,150
05/07/2020,1235,259,142
05/08/2020,1081,257,131
05/09/2020,657,185,100
05/10/2020,458,157,103
05/11/2020,1233,246,103
05/12/2020,1285,211,91
05/13/2020,1335,230,83
05/14/2020,1112,220,70
05/15/2020,875,234,86
05/16/2020,488,164,83
05/17/2020,359,125,77
05/18/2020,900,178,58
05/19/2020,1004,205,54
05/20/2020,1081,170,81
05/21/2020,1071,174,45
05/22/2020,1057,197,65
05/23/2020,461,134,60
05/24/2020,476,119,49
05/25/2020,469,140,49
05/26/2020,1055,151,38
05/27/2020,745,161,49
05/28/2020,646,139,38
05/29/2020,647,170,43
05/30/2020,348,98,54
05/31/2020,231,90,39
06/01/2020,687,124,34
06/02/2020,574,123,38
06/03/2020,515,115,43
06/04/2020,526,90,33
06/05/2020,403,65,28
06/06/2020,247,46,35
06/07/2020,199,47,25
06/08/2020,451,62,40
06/09/2020,420,51,33
06/10/2020,365,45,32
06/11/2020,368,41,21
06/12/2020,410,55,23
06/13/2020,196,28,15
06/14/2020,183,43,24
06/15/2020,379,49,20
06/16/2020,422,50,18
06/17/2020,356,41,20
06/18/2020,379,39,17
06/19/2020,361,39,17
06/20/2020,205,26,19
06/21/2020,176,34,28
06/22/2020,397,44,25
06/23/2020,383,42,27
06/24/2020,382,37,25
06/25/2020,296,37,19
06/26/2020,311,34,20
06/27/2020,208,37,21
06/28/2020,202,32,19
06/29/2020,437,39,24
06/30/2020,447,37,23
07/01/2020,398,29,12
07/02/2020,417,30,24
07/03/2020,230,21,22
07/04/2020,119,22,14
07/05/2020,153,24,17
07/06/2020,435,43,16
07/07/2020,464,41,13
07/08/2020,435,32,20
07/09/2020,394,42,10
07/10/2020,309,35,10
07/11/2020,255,30,13
07/12/2020,223,18,11
07/13/2020,482,46,17
07/14/2020,400,33,10
07/15/2020,439,27,14
07/16/2020,419,30,9
07/17/2020,415,47,13
07/18/2020,217,29,11
07/19/2020,175,32,7
07/20/2020,396,32,11
07/21/2020,337,22,11
07/22/2020,326,31,8
07/23/2020,306,34,9
07/24/2020,303,34,6
07/25/2020,152,30,11
07/26/2020,139,18,8
07/27/2020,319,43,5
07/28/2020,311,35,12
07/29/2020,285,22,5
07/30/2020,267,31,4
07/31/2020,263,27,5
08/01/2020,185,22,8
08/02/2020,134,28,2
08/03/2020,352,29,3
08/04/2020,188,31,6
08/05/2020,310,27,8
08/06/2020,287,31,6
08/07/2020,266,18,5
08/08/2020,154,17,6
08/09/2020,133,25,3
08/10/2020,298,27,6
08/11/2020,258,18,6
08/12/2020,317,26,2
08/13/2020,261,33,3
08/14/2020,274,30,4
08/15/2020,150,21,7
08/16/2020,136,19,5
08/17/2020,329,26,6
08/18/2020,280,35,2
08/19/2020,281,27,2
08/20/2020,222,29,7
08/21/2020,241,29,3
08/22/2020,142,20,6
08/23/2020,151,18,4
08/24/2020,291,26,8
08/25/2020,278,36,5
08/26/2020,306,22,6
08/27/2020,253,27,1
08/28/2020,278,19,6
08/29/2020,117,22,3
08/30/2020,170,19,8
08/31/2020,299,30,3
09/01/2020,282,20,5
09/02/2020,264,21,5
09/03/2020,264,19,5
09/04/2020,206,24,3
09/05/2020,150,16,2
09/06/2020,173,20,6
09/07/2020,177,19,2
09/08/2020,322,22,2
09/09/2020,250,11,1
09/10/2020,193,5,1
09/11/2020,112,4,1
09/12/2020,30,2,0
09/13/2020,18,0,0
