,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,9999,1,1,0,0.0,0,0.0,0,0.0,1,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,1.844684625093316e-06,0,0.0,0,1.0
2,2,9998,3,1,0,1.1068104928488164e-08,0,0.0,1,6.146901571945755e-06,0,0.0,0,1.0
3,3,9997,4,1,0,3.688140002790061e-08,1,7.378736683345172e-08,0,1.4105757718809844e-05,0,0.0,0,1.0
4,4,9997,5,1,0,9.570262966179937e-08,0,2.4587600233039196e-07,0,2.6014228647685728e-05,1,0.0,0,1.0
5,5,9996,6,1,0,1.929667321164158e-07,0,5.642301698096297e-07,1,4.341614949572502e-05,0,0.0,0,1.0
6,6,9995,7,1,0,3.34063250359425e-07,1,1.1143562564987914e-06,0,6.619126555575385e-05,0,0.0,0,1.0
7,7,9991,7,1,1,5.274195290616016e-07,0,1.9087341876736348e-06,0,9.455536494538253e-05,1,0.0,0,1.0
8,8,9990,8,2,1,7.690076459384494e-07,1,2.966004137720496e-06,0,0.00012957383747891913,0,0.0,1,1.0
9,9,9985,9,2,1,1.066258111335711e-06,0,4.258552386293623e-06,1,0.0001705217208646522,1,1.992264403298285e-05,0,1.0
10,10,9983,10,2,1,1.4124841910638548e-06,0,5.805241518522718e-06,0,0.00021879268683816784,1,6.63867038613514e-05,1,1.0
11,11,9981,10,1,1,1.8011397045936145e-06,0,7.559782937502058e-06,0,0.0002754060076389461,0,0.00017226521035817934,1,1.0
12,12,9978,11,2,1,2.218874629973417e-06,0,9.494127480286416e-06,1,0.0003402423114598689,1,0.0003672637235585484,0,1.0
13,13,9978,11,1,0,2.649132618741811e-06,0,1.16209740601755e-05,1,0.0004144993319647966,0,0.0006677022194273162,0,1.0
14,14,9976,12,2,1,3.0743801140645492e-06,1,1.3962783304921246e-05,0,0.0004966872522568938,1,0.0010817777031795523,0,1.0
15,15,9972,12,2,2,3.4890475831599697e-06,1,1.6511269788161875e-05,1,0.0005869525265088388,0,0.001598785267105923,0,1.0
16,16,9963,13,3,2,3.893471481374559e-06,1,1.9322876570320953e-05,0,0.0006829700891245202,1,0.0021959776533505564,1,1.0
17,17,9945,14,3,2,4.2981998451652e-06,2,2.23548556120919e-05,1,0.0007843176858420597,0,0.0028635409092128243,0,1.0
18,18,9940,15,3,2,4.729946216660775e-06,0,2.5634591222145997e-05,2,0.0008883616334372262,0,0.0035759895753634625,1,1.0
19,19,9931,17,4,2,5.198466224356114e-06,0,2.923983058912699e-05,2,0.000992751364057203,1,0.004335339408899793,1,1.0
20,20,9930,16,1,1,5.711984865146077e-06,0,3.329904632520222e-05,1,0.0010961798273634237,0,0.0051441643105035635,0,1.0
21,21,9927,14,1,2,6.262795608137531e-06,0,3.792150259849128e-05,1,0.0011959354322869696,0,0.005996818029244963,0,1.0
22,22,9926,12,1,1,6.833538162247168e-06,0,4.320019255064138e-05,1,0.0012900843028067757,0,0.006885291287545568,0,1.0
23,23,9918,12,3,3,7.401429813637775e-06,1,4.915680478494561e-05,0,0.0013762567049334033,1,0.00778839909961237,1,1.0
24,24,9917,10,1,1,7.953252085376162e-06,1,5.5682214758353136e-05,0,0.0014539767054050582,0,0.008698103399998203,0,1.0
25,25,9915,8,1,2,8.481007386154487e-06,1,6.259781568525608e-05,0,0.0015218212940896147,0,0.009590624625027966,0,1.0
26,26,9912,7,2,2,8.98748262936733e-06,1,6.964648526550847e-05,1,0.0015794156710525276,0,0.010449862091750844,0,1.0
27,27,9896,8,4,3,9.481941389982831e-06,0,7.661635810849047e-05,2,0.0016260411553209316,1,0.01125402981108346,1,1.0
28,28,9893,7,2,2,9.965880603784193e-06,0,8.340071207693593e-05,1,0.0016628206160810427,0,0.012000612430068181,1,1.0
29,29,9879,9,5,3,1.0437672668063246e-05,2,8.992464326056434e-05,3,0.0016897751396277086,0,0.012695512018969665,0,1.0
30,30,9874,8,2,2,1.0909168315894871e-05,0,9.634552218331124e-05,1,0.001707756566781813,1,0.013341389550876001,0,1.0
31,31,9871,6,1,2,1.1372961865199315e-05,0,0.0001027310669575217,1,0.0017188706270696214,0,0.013942376340746195,0,1.0
32,32,9870,5,2,1,1.182717775391311e-05,1,0.00010920076157120128,1,0.0017237372069091605,0,0.014491809217042401,0,1.0
33,33,9869,4,1,1,1.2271137937189763e-05,0,0.00011579882244390003,1,0.0017234556245328224,0,0.014977248548722347,0,1.0
34,34,9865,3,1,2,1.2692418725796573e-05,1,0.0001225157590152945,0,0.0017182520682455886,0,0.015383675579365742,0,1.0
35,35,9858,2,1,2,1.3091782499477636e-05,0,0.00012922666030954557,1,0.0017078942638355976,0,0.01569643156882446,0,1.0
36,36,9850,3,3,2,1.345832480645332e-05,1,0.00013582942753228967,1,0.0016919112151476251,0,0.01590341148123445,1,1.0
37,37,9849,2,1,1,1.379515226674727e-05,0,0.00014218628561428058,1,0.0016697938861445375,0,0.01601633326554511,0,1.0
38,38,9791,13,13,2,1.40939948044349e-05,4,0.00014819500908043142,5,0.0016411448089657015,4,0.016038098991240337,0,0.9945054945054945
39,39,9785,14,3,2,1.4393742884176801e-05,1,0.00015407990933156588,2,0.0016131491669170062,0,0.015982423841269182,0,0.9945054945054945
40,40,9641,43,31,1,1.4710544082719714e-05,9,0.00015997221963821954,14,0.0015883101682412025,7,0.015857297039678434,1,0.989010989010989
41,41,9641,41,1,0,1.516583984437244e-05,0,0.00016703264227967132,1,0.001584636154697209,0,0.015687604035875602,0,0.989010989010989
42,42,9638,38,1,3,1.579710433840087e-05,0,0.00017567983927972125,1,0.0016081099749383355,0,0.015482851842428015,0,0.989010989010989
43,43,9635,34,1,3,1.665594264291708e-05,0,0.0001865205290264106,0,0.0016666230560970407,1,0.015257956887812705,0,0.989010989010989
44,44,9607,34,5,4,1.7734096237235706e-05,1,0.00019953308006430396,1,0.0017619702342856949,1,0.015018103161535673,2,0.989010989010989
45,45,9602,31,2,3,1.89970493504408e-05,1,0.00021438453599442685,1,0.001891481769822196,0,0.014802627287874008,0,0.989010989010989
46,46,9596,27,2,3,2.0390254646112485e-05,0,0.00023047188906912675,0,0.002048493986784699,2,0.01462066197728753,0,0.989010989010989
47,47,9592,22,1,2,2.1845006561849546e-05,0,0.00024702671372471037,1,0.0022280948109589392,0,0.014492460987290496,0,0.989010989010989
48,48,9586,20,4,4,2.3291352961140924e-05,0,0.0002633265476782125,1,0.0024212247096553207,3,0.014418800908223065,0,0.989010989010989
49,49,9569,19,5,2,2.4658806943592628e-05,1,0.0002786905839636332,4,0.002625361840332545,0,0.014388843161192738,0,0.989010989010989
50,50,9563,15,2,4,2.5895005793649196e-05,0,0.0002928021692226176,2,0.0028333083140906924,0,0.014384250401515284,0,0.989010989010989
51,51,9480,35,26,5,2.6951510191252672e-05,3,0.00030542054561564987,12,0.0030399435465134324,9,0.014383346208705457,2,0.9835164835164835
52,52,9458,38,9,5,2.7830235890790472e-05,4,0.00031728452637596195,4,0.003255038092930334,1,0.014404379876125322,0,0.9835164835164835
53,53,9448,36,4,5,2.856402509841324e-05,2,0.0003288587445645224,1,0.0034788227266286534,1,0.014441503095134842,0,0.9835164835164835
54,54,9428,36,7,4,2.9198889451734718e-05,0,0.0003407210673080888,4,0.0037178513093806004,2,0.01450550878558199,1,0.9835164835164835
55,55,9397,37,8,3,2.977330753349622e-05,3,0.00035335413948592103,2,0.003974594967466808,3,0.014612178889648168,0,0.9835164835164835
56,56,9396,31,1,1,3.0342119526444584e-05,0,0.00036681389986887447,0,0.004250341699402425,1,0.014755853689022927,0,0.9835164835164835
57,57,9118,103,80,6,3.0912387642236945e-05,16,0.0003808654111520966,34,0.004541892641542763,21,0.014932187915321313,9,0.978021978021978
58,58,9107,96,3,5,3.166265162403834e-05,1,0.00039753752339647167,1,0.004881801585991838,0,0.015304645068461322,1,0.978021978021978
59,59,9104,86,1,2,3.263946383902773e-05,0,0.00041706011844396684,0,0.005273397264196697,1,0.015931490584980387,0,0.978021978021978
60,60,9088,79,5,5,3.3925887315492286e-05,3,0.0004403534678383354,2,0.005731825482899363,0,0.01691293975528828,0,0.978021978021978
61,61,9042,82,16,6,3.555032160965239e-05,7,0.0004673187780953024,2,0.006251587954299541,4,0.01826879173691192,3,0.978021978021978
62,62,9011,76,8,6,3.7536127103078646e-05,2,0.0004971749458765901,3,0.006823716230402007,3,0.02001458466968841,0,0.978021978021978
63,63,8972,75,13,6,3.984914952541766e-05,1,0.0005288519668914639,9,0.007431882908057689,2,0.022082228207759024,1,0.978021978021978
