,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,20008,1,1,0,0.0,0,0.0,0,0.0,1,0.0,0,
1,1,20008,2,1,0,0.0,1,0.0,0,1.844684625093316e-06,0,0.0,0,
2,2,20007,3,1,0,1.1068104928488164e-08,0,0.0,1,6.146901571945755e-06,0,0.0,0,
3,3,20007,4,1,0,3.688140002790061e-08,0,7.378736683345172e-08,1,1.4105757718809844e-05,0,0.0,0,
4,4,20007,5,1,0,8.463452473331121e-08,0,3.196633691638437e-07,1,2.6014228647685728e-05,0,0.0,0,
5,5,20006,6,1,0,1.5608533208851518e-07,0,8.838935389734732e-07,0,4.157146487063171e-05,1,0.0,0,
6,6,20005,7,1,0,2.494287256261138e-07,0,1.8506750618053614e-06,1,6.188904860890141e-05,0,0.0,0,
7,7,20002,8,2,1,3.6026609204459813e-07,0,3.341444611651664e-06,2,8.659650879851844e-05,0,0.0,0,
8,8,19999,10,3,1,4.826975202844349e-07,0,5.4986517789167435e-06,3,0.00011582068192494992,0,0.0,0,
9,9,19997,11,2,1,6.102893896293135e-07,0,8.559959924853161e-06,1,0.00014881758306976048,1,0.0,0,
10,10,19995,12,2,1,7.368199386630042e-07,0,1.26687980339944e-05,2,0.00018621403000618162,0,0.0,0,
11,11,19990,16,5,1,8.567870646048759e-07,0,1.802884964033521e-05,2,0.00022714185112340246,3,0.0,0,
12,12,19986,16,1,1,9.657032671772995e-07,0,2.4745396663186012e-05,1,0.000276792681913004,0,0.0,0,
13,13,19980,18,4,2,1.0602193082263863e-06,1,3.2806743207698574e-05,2,0.00033585680013698796,1,0.0,0,
14,14,19967,26,10,2,1.1491894701418262e-06,1,4.219385633795822e-05,5,0.00040824394650383064,1,0.0,3,
15,15,19962,28,4,2,1.2461922160140448e-06,1,5.303044897114992e-05,2,0.0004955972621710681,1,5.9767932098948554e-05,0,
16,16,19944,39,14,3,1.3729081866603436e-06,5,6.527908885261753e-05,5,0.0005990203015020571,3,0.0001991601115840542,1,
17,17,19928,44,8,3,1.5977916800697086e-06,2,7.91767833443541e-05,4,0.0007224986451806578,2,0.0004769503430085723,0,
18,18,19912,48,8,4,1.9695700125965863e-06,1,9.483797572413137e-05,6,0.0008686407494805906,1,0.0009092498308539939,0,
19,19,19887,56,13,5,2.5396639892942666e-06,2,0.00011256252518249296,6,0.0010393349316656269,3,0.0014992614140475014,2,
20,20,19862,64,14,6,3.3467010842332417e-06,2,0.00013262802249189136,6,0.0012383998343546698,5,0.0022662419473006047,1,
21,21,19834,72,15,7,4.407007601849213e-06,3,0.00015532756963529642,6,0.0014720835696768269,5,0.0032082428275992756,1,
22,22,19794,83,19,8,5.735055929365752e-06,6,0.00018089270715138095,5,0.0017485487833069524,7,0.004335047070493808,1,
23,23,19766,89,15,8,7.369819078244798e-06,4,0.00020937829966976678,5,0.002081578168956869,4,0.005648257293115177,2,
24,24,19733,97,18,10,9.33633352531826e-06,4,0.0002406902719468478,9,0.0024801947133640916,4,0.007162661734462481,1,
25,25,19688,112,26,11,1.1668049986645303e-05,5,0.00027485389972240837,15,0.0029519804446450004,2,0.008873019108654531,4,
26,26,19635,127,28,13,1.4393377482270701e-05,9,0.00031230620377514367,12,0.0034948165499393237,6,0.010834307485846403,1,
27,27,19569,146,34,15,1.7572342914787983e-05,6,0.0003535161906126844,15,0.004107812717873947,8,0.013047223398245116,5,
28,28,19509,170,41,16,2.1237089192073842e-05,9,0.00039939158939384295,21,0.004789829811201937,7,0.015601620827410005,4,
29,29,19416,197,46,18,2.5457614273008182e-05,2,0.0004512268646987311,25,0.005540472461018606,13,0.018558215177703494,6,
30,30,19326,223,48,21,3.0209113501137666e-05,11,0.0005106985031680259,26,0.006372249570456464,7,0.022040455423764038,4,
31,31,19216,261,63,25,3.5536687418204336e-05,13,0.000579721791469483,33,0.00728919334370311,15,0.02613067716894492,2,
