,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,19996,1,1,0,0.0,0,0.0,0,0.0,1,0.0,0,1.0
1,1,19996,2,1,0,0.0,0,0.0,0,1.844684625093316e-06,1,0.0,0,1.0
2,2,19996,3,1,0,0.0,1,0.0,0,7.99158619703907e-06,0,0.0,0,1.0
3,3,19996,4,1,0,1.1068104928488164e-08,0,0.0,0,2.0252659290755597e-05,1,0.0,0,1.0
4,4,19996,5,1,0,3.688140002790061e-08,1,0.0,0,4.196467099158889e-05,0,0.0,0,1.0
5,5,19996,6,1,0,9.570262966179937e-08,0,0.0,0,7.373259509026319e-05,1,0.0,0,1.0
6,6,19996,7,1,0,1.929667321164158e-07,0,0.0,0,0.00011756627119834296,1,0.0,0,1.0
7,7,19994,9,3,1,3.34063250359425e-07,0,0.0,2,0.0001744997860551056,1,0.0,0,1.0
8,8,19991,12,4,1,5.163514241331134e-07,1,1.4757473366690343e-07,0,0.0002458333402191934,3,0.0,0,1.0
9,9,19987,16,5,1,7.431943508390369e-07,0,4.917520046607839e-07,5,0.0003363635844257442,0,0.0,0,1.0
10,10,19986,17,2,1,1.007436881701812e-06,1,1.497397173786518e-06,1,0.0004461829981120685,0,0.0,0,1.0
11,11,19968,35,19,1,1.3152200886092386e-06,0,3.3843051578160907e-06,13,0.0005754107209428003,4,0.0,2,1.0
12,12,19966,36,3,2,1.660043186350605e-06,1,7.351978990899898e-06,1,0.000727944063606508,1,3.98452880659657e-05,0,1.0
13,13,19953,47,14,3,2.0476545611282164e-06,3,1.3840797951086604e-05,7,0.0009025436671114155,4,0.0001327734077227028,0,1.0
14,14,19916,81,38,4,2.5034435117777406e-06,6,2.388820658732786e-05,18,0.0011053943463183449,10,0.00030468513265039296,4,1.0
15,15,19892,101,25,5,3.0976382326891278e-06,6,3.894985031236354e-05,8,0.0013529932837253085,8,0.0006415993274603598,3,1.0
16,16,19841,146,52,7,3.926703436984735e-06,12,5.9939360849983456e-05,21,0.0016638622631283799,12,0.0012232606460258909,7,0.9927007299270073
17,17,19797,180,44,10,5.177560510732209e-06,12,8.882737873061625e-05,17,0.002069698596824786,10,0.0022449504074960034,5,0.9927007299270073
18,18,19662,297,130,13,7.058434533199949e-06,41,0.00012704273385635276,57,0.002598908373734988,20,0.0038828812332287015,12,0.9854014598540146
19,19,19561,372,94,19,1.0124289124871671e-05,18,0.00017902071240593942,52,0.0032972839369814462,22,0.006473206021773935,2,0.9781021897810219
20,20,19457,443,97,26,1.4764289010518515e-05,22,0.00024935971536921053,40,0.004212779752437631,24,0.010158280211738055,11,0.9708029197080292
21,21,19104,733,324,34,2.1491315776122225e-05,72,0.00034304817385770036,157,0.005401376569831329,66,0.015232931836131556,29,0.948905109489051
22,22,19104,734,1,0,3.1210969671524026e-05,0,0.00047309078206625666,1,0.006993876142979964,0,0.022245589120534988,0,0.948905109489051
23,23,19104,735,1,0,4.408459847468523e-05,0,0.0006422136554386391,0,0.00901650550045364,1,0.031292466338594734,0,0.948905109489051
24,24,19104,736,1,0,6.022398498365907e-05,0,0.0008531558581573788,0,0.0114926569183829,0,0.04246707579004073,1,0.948905109489051
25,25,19104,737,1,0,7.917536179734824e-05,0,0.0011008867818015143,1,0.014360118768832643,0,0.055499566893848315,0,0.948905109489051
26,26,19104,738,1,0,0.00010015199430263722,0,0.0013757510284365345,1,0.01750720248951524,0,0.06988043008284343,0,0.948905109489051
27,27,19104,739,1,0,0.0001221855465293054,0,0.001665433968808045,1,0.020793587299222274,0,0.08498029329833735,0,0.948905109489051
28,28,19104,740,1,0,0.00014426380025181568,0,0.0019568547455233467,0,0.02407119151337806,0,0.10012658084839342,1,0.948905109489051
29,29,19104,741,1,0,0.00016543710042439373,0,0.002237526430260812,1,0.027200328492910295,0,0.11469929346634701,0,0.948905109489051
30,30,19104,742,1,0,0.00018488978688160397,0,0.0024966604212903237,1,0.03006067911933417,0,0.1281486374988558,0,0.948905109489051
31,31,19104,743,1,0,0.00020197983363075137,1,0.002725651573040333,0,0.03255748255078681,0,0.14004425169280954,0,0.948905109489051
32,32,19104,744,1,0,0.00021626390958114398,0,0.002918278159773987,1,0.0346238326793818,0,0.15007099192246018,0,0.948905109489051
33,33,19104,745,1,0,0.0002274740748623652,0,0.0030707722170869086,1,0.03622009301568859,0,0.15803090090365765,0,0.948905109489051
34,34,19104,746,1,0,0.00023551130740973657,1,0.0031815292584917755,0,0.037331379242009195,0,0.1638344765826293,0,0.948905109489051
35,35,19104,747,1,0,0.00024042296512412408,0,0.0032507750574936487,1,0.03796390939244433,0,0.1674867183538331,0,0.948905109489051
36,36,19104,748,1,0,0.00024235836833422158,0,0.0032803118738587295,1,0.03814084612544815,0,0.16907037682638582,0,0.948905109489051
37,37,19104,749,1,0,0.0002415526305702611,1,0.0032730702541276468,0,0.03789808624245403,0,0.16872834924243937,0,0.948905109489051
38,38,19104,750,1,0,0.0002383035967250255,0,0.0032327411115003054,1,0.037280305155840326,0,0.16664664234059892,0,0.948905109489051
39,39,19104,751,1,0,0.00023293294586307714,0,0.003163572180610515,1,0.03633744417359843,0,0.16303884902713794,0,0.948905109489051
40,40,19104,752,1,0,0.00022577913146112094,0,0.003070023359826199,0,0.03512173639954354,1,0.15813268962838622,0,0.948905109489051
