,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,39984,1,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
1,1,39984,2,1,0,0.0,0,7.378736683345172e-08,0,0.0,0,0.0,1,1.0
2,2,39984,3,1,0,0.0,0,2.4587600233039196e-07,1,0.0,0,1.992264403298285e-05,0,1.0
3,3,39984,4,1,0,0.0,0,6.380175366430813e-07,1,0.0,0,6.63867038613514e-05,0,1.0
4,4,39984,5,1,0,0.0,1,1.3602322588291835e-06,0,0.0,0,0.00015234256632519648,0,1.0
5,5,39984,6,1,0,1.1068104928488164e-08,0,2.4729643574832645e-06,1,0.0,0,0.0002809543756642142,0,1.0
6,6,39984,7,1,0,3.688140002790061e-08,0,4.0803603942192876e-06,0,0.0,1,0.00044897294924076825,0,1.0
7,7,39980,11,5,1,8.463452473331121e-08,0,6.167286573967259e-06,2,1.844684625093316e-06,2,0.0006484807611901416,1,1.0
8,8,39964,27,17,1,1.5608533208851518e-07,5,8.845033023076665e-06,5,9.836270822132387e-06,4,0.0008887805862339235,3,1.0
9,9,39923,68,42,1,3.0476925026855463e-07,8,1.2433148160293332e-05,16,3.377829936307462e-05,13,0.0012246785788799465,5,0.9922480620155039
10,10,39737,250,185,3,6.332179316120065e-07,44,1.8199789682772498e-05,95,0.00010279425049930154,34,0.0017773954598629244,12,0.9844961240310077
11,11,39653,321,80,9,1.6879179610276751e-06,17,3.366662925369139e-05,37,0.00029265195072971013,18,0.0028512083087238785,8,0.9844961240310077
12,12,39478,470,165,16,3.878731632950305e-06,31,6.455475539108316e-05,78,0.0006728180353581777,36,0.004747841200292681,20,0.9844961240310077
13,13,39054,834,390,26,7.92666036502483e-06,92,0.00012202764138011964,174,0.0013616578043345476,86,0.008066228833461076,38,0.9534883720930233
14,14,38504,1242,451,43,1.5121677916483567e-05,101,0.00022320502700805592,210,0.002561539385220694,100,0.013782776690630641,40,0.9224806201550387
15,15,37616,1897,724,69,2.7024271845086834e-05,165,0.000390052140329815,336,0.004531203560363792,163,0.02310610665798878,60,0.8992248062015504
16,16,36635,2449,660,108,4.6241523090481805e-05,143,0.0006575623154201029,302,0.007695885069464575,146,0.03783121532396382,69,0.875968992248062
17,17,34697,3479,1185,155,7.537614868683093e-05,253,0.0010616155756566885,566,0.01249178005878418,247,0.06001184948655239,119,0.8294573643410853
18,18,32777,4217,960,222,0.00011835460601572995,211,0.0016591342848586406,432,0.019563129103971635,233,0.09278146296205535,84,0.7829457364341085
19,19,30673,4814,896,299,0.00017854171999816306,229,0.0024973003324939265,400,0.029514454695983242,165,0.13873721941898304,102,0.7674418604651163
20,20,27970,5436,1002,380,0.0002594352090271996,227,0.0036209032316386566,444,0.0428236292699779,223,0.20081204221483295,108,0.7441860465116279
21,21,24950,5847,878,467,0.0003636600419734639,216,0.005062809909782942,383,0.05991249665263481,196,0.2812920034412585,83,0.7131782945736435
22,22,24950,5848,1,0,0.0004927624409023704,0,0.006834982310223251,0,0.08093633235518324,1,0.3813150257383269,0,0.7131782945736435
23,23,24950,5849,1,0,0.0006447364888928046,0,0.008904972946443865,1,0.10552888198912959,0,0.499419588412224,0,0.7131782945736435
24,24,24950,5850,1,0,0.0008155953812218036,0,0.011213911037591201,0,0.13301319633917816,1,0.6324156950349122,0,0.7131782945736435
25,25,24950,5851,1,0,0.0009987814843916416,0,0.013671500392641865,0,0.16232834253612125,1,0.7751317475700473,0,0.7131782945736435
26,26,24950,5852,1,0,0.001186552989716519,0,0.016173900443344297,1,0.19224219301426135,0,0.9214816839416415,0,0.7131782945736435
