,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,9999,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2,9999,3,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
3,3,9999,4,1,0,0.0,1,0.0,0,0.0,0,2.139839983400872e-05,0,1.0
4,4,9999,5,1,0,0.0,0,0.0,1,0.0,0,7.13042521130885e-05,0,1.0
5,5,9998,6,1,0,0.0,1,1.291278929522275e-07,0,0.0,0,0.00016362723444582222,0,1.0
6,6,9998,7,1,0,0.0,0,4.302830073893731e-07,1,0.0,0,0.0003017658728241113,0,1.0
7,7,9994,8,2,1,0.0,0,1.11653069771751e-06,1,0.0,1,0.00048223030369878254,0,1.0
8,8,9992,8,1,1,0.0,0,2.3804064712691807e-06,0,2.379643343388718e-06,1,0.0006965165160626206,0,1.0
9,9,9988,9,2,1,0.0,1,4.327687658898874e-06,1,1.0309146961063426e-05,0,0.0009332179812774634,0,1.0
10,10,9985,9,1,1,0.0,0,7.140630744833554e-06,0,2.61259324285463e-05,0,0.001179896328966678,1,1.0
11,11,9984,10,2,1,0.0,1,1.0792751587496928e-05,0,5.1754786262745456e-05,1,0.0014459211844526022,0,1.0
12,12,9982,10,1,1,0.0,0,1.5220552123594873e-05,1,8.956519446762942e-05,0,0.0017277641700013159,0,1.0
13,13,9981,11,2,1,0.0,0,2.038093186136163e-05,1,0.0001390139325910894,1,0.0020306591035492753,0,1.0
14,14,9947,16,6,1,0.0,0,2.6216776156575132e-05,2,0.00020181330849763603,3,0.0023515292980668865,1,1.0
15,15,9946,15,1,1,0.0,0,3.286186013103098e-05,1,0.0002836190541286599,0,0.002704003220201696,0,1.0
16,16,9945,14,1,1,0.0,1,4.039087092157799e-05,0,0.00038524073431172613,0,0.0030844302324935214,0,1.0
17,17,9941,13,1,2,0.0,0,4.87965993958133e-05,1,0.0005082304977359423,0,0.0034948123840976963,0,1.0
18,18,9938,13,2,2,0.0,1,5.808312321426715e-05,1,0.0006499178174591705,0,0.003927045944955628,0,1.0
19,19,9936,12,1,2,0.0,0,6.814859206793092e-05,1,0.0008051245754778562,0,0.004367658299354069,0,1.0
20,20,9934,12,2,2,0.0,0,7.889524069422687e-05,1,0.000967211446394569,0,0.004800352313499839,1,1.0
21,21,9930,12,2,1,0.0,0,9.021955070384208e-05,2,0.0011290799865179618,0,0.005229806569957057,0,1.0
22,22,9926,11,1,2,0.0,0,0.0001021442959894254,0,0.001283971445083883,1,0.0056478574136720056,0,1.0
23,23,9910,13,4,1,0.0,2,0.00011447524072415028,0,0.0014283977655585917,1,0.006055827979676947,1,1.0
24,24,9852,21,11,3,0.0,2,0.0001270156183620494,5,0.0015608711558180732,2,0.006469271270583436,2,1.0
25,25,9849,19,1,2,0.0,0,0.0001400675814388999,1,0.001685166789620827,0,0.006928887026778085,0,1.0
26,26,9847,17,1,2,0.0,0,0.00015357152677330965,1,0.0018027888896083371,0,0.007451951438797314,0,1.0
27,27,9845,16,2,2,0.0,1,0.00016771097921563377,0,0.0019160251636193132,1,0.008058912888081263,0,1.0
28,28,9839,15,2,2,0.0,0,0.0001823470678116943,0,0.0020269154343178536,1,0.008743752409671976,1,1.0
29,29,9832,16,4,3,0.0,0,0.00019718115277520432,2,0.002136712532590833,1,0.009505385596783846,1,1.0
30,30,9828,14,1,1,0.0,0,0.00021200334855375847,0,0.0022472948539120127,1,0.010339664547306091,0,1.0
31,31,9807,18,7,3,0.0,1,0.00022636315191322423,4,0.0023606430916010036,2,0.011230937456457408,0,1.0
32,32,9803,16,2,2,0.0,0,0.00024041661338335355,1,0.00248096770951358,0,0.012160807164637173,1,1.0
33,33,9796,14,2,4,0.0,0,0.00025404241684478244,1,0.0026081501652951925,1,0.013119333420273441,0,1.0
34,34,9791,13,3,3,0.0,0,0.00026734456018497174,1,0.002743923881590801,1,0.01407691584472607,1,1.0
35,35,9787,10,1,3,0.0,0,0.00028031521777431567,1,0.002887549802488204,0,0.015031661749914044,0,1.0
36,36,9786,7,1,1,0.0,0,0.00029288626347113007,0,0.003035776531010863,0,0.015960373893202352,1,1.0
37,37,9782,5,2,3,0.0,0,0.00030481772340367825,1,0.003184293665733021,1,0.016867371100198956,0,1.0
38,38,9769,5,3,2,0.0,1,0.00031593585877341283,2,0.0033294689114315565,0,0.017734816719010497,0,1.0
39,39,9611,32,30,3,0.0,6,0.0003261556849070619,10,0.0034656218851971603,9,0.018549948971809543,5,0.9947643979057592
40,40,9599,30,2,3,0.0,1,0.00033654788407203555,1,0.003609606112231568,0,0.01939813314104015,0,0.9947643979057592
41,41,9554,41,15,4,0.0,4,0.00034751603325113955,7,0.0037637663466861984,4,0.02029070975500635,0,0.9947643979057592
42,42,9551,38,2,2,0.0,2,0.0003606059532721147,0,0.003947327324539324,0,0.021273991882716912,0,0.9947643979057592
43,43,9550,34,1,1,0.0,0,0.0003761542735417553,0,0.004163545962723945,1,0.022345537103661356,0,0.9947643979057592
44,44,9529,33,5,3,0.0,2,0.00039433304720541776,1,0.004415312152898833,2,0.023474075812731088,0,0.9947643979057592
45,45,9524,29,2,4,0.0,1,0.00041471301915517927,0,0.0047001862729898845,0,0.02460971280547382,1,0.9947643979057592
46,46,9520,25,2,3,0.0,0,0.00043635806050309296,0,0.005008486599695828,2,0.02571591007836382,0,0.9947643979057592
47,47,9516,20,1,3,0.0,0,0.0004581635237942502,1,0.005333391081010073,0,0.026742599352428453,0,0.9947643979057592
48,48,9507,20,6,4,0.0,2,0.00047906532171081574,2,0.005661754913573885,2,0.027653562322049585,0,0.9947643979057592
49,49,9496,17,3,4,0.0,2,0.0004982421069661593,1,0.005986187496377768,0,0.028412928443026824,0,0.9947643979057592
50,50,9493,12,1,2,0.0,0,0.0005150401211801087,1,0.006294925365763336,0,0.02899050685194692,0,0.9947643979057592
51,51,9485,9,3,4,0.0,0,0.0005290941245779763,0,0.0065784934916176385,1,0.029363769629522602,2,0.9947643979057592
52,52,9482,4,1,3,0.0,1,0.0005400737591621501,0,0.0068293104535954805,0,0.029561764731543174,0,0.9947643979057592
53,53,9475,4,4,3,0.0,1,0.0005477560395249474,2,0.007039223007952772,1,0.02959394191392802,0,0.9947643979057592
54,54,9382,21,21,4,0.0,5,0.0005522127879656046,10,0.007204965385384471,5,0.02949177459369952,1,0.9895287958115183
55,55,9381,17,1,1,0.0,1,0.0005547068159246104,0,0.007334634211040191,0,0.029294441492851566,0,0.9895287958115183
56,56,9368,16,4,2,0.0,0,0.0005558090758173438,1,0.007430778903917698,2,0.02901897969737513,1,0.9895287958115183
57,57,9362,11,1,4,0.0,0,0.0005565992816537375,1,0.007505113858847707,0,0.02870499537474883,0,0.9895287958115183
58,58,9357,7,1,2,0.0,0,0.0005575769365152298,0,0.0075613579035235835,1,0.028364385063508652,0,0.9895287958115183
59,59,9353,3,1,3,0.0,0,0.0005588046893138845,0,0.007604389234979178,1,0.028008411168040304,0,0.9895287958115183
60,60,9350,2,2,3,0.0,0,0.00056005445601521,1,0.007635843393338581,0,0.027633953416948416,1,0.9895287958115183
61,61,9329,5,5,2,0.0,0,0.0005609857682727334,1,0.007654378544537203,4,0.02725162531063703,0,0.9895287958115183
62,62,9309,6,6,4,0.0,1,0.0005612040890731214,3,0.0076669099232005685,1,0.02685421175491396,1,0.9895287958115183
63,63,9295,5,4,3,0.0,1,0.0005606649897416826,2,0.007674658053975892,0,0.02646263801372328,1,0.9895287958115183
64,64,9284,6,5,3,0.0,2,0.0005593832982178181,1,0.007679911118656124,2,0.026096847921528474,0,0.9895287958115183
65,65,9282,3,1,2,0.0,0,0.0005574746308167722,0,0.007686289620871047,1,0.025766299129930337,0,0.9895287958115183
66,66,9281,1,1,1,0.0,0,0.0005549328474148716,0,0.0076934680018891895,0,0.02547623057590328,1,0.9895287958115183
67,67,9278,1,1,1,0.0,0,0.0005516373789369982,0,0.0076994532245526544,0,0.02523745296726993,1,0.9895287958115183
68,68,9277,2,2,1,0.0,1,0.0005473368029986023,0,0.0077003170820058265,1,0.02505895984814536,0,0.9895287958115183
69,69,9268,1,1,2,0.0,0,0.0005417301990935991,0,0.007692441695018245,0,0.024938033948563688,1,0.9895287958115183
