,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,20005,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,
1,1,20005,2,1,0,0.0,1,0.0,0,0.0,0,0.0,0,
2,2,20004,3,1,0,0.0,0,0.0,1,0.0,0,0.0,0,
3,3,20004,4,1,0,0.0,0,1.291278929522275e-07,1,0.0,0,0.0,0,
4,4,20004,5,1,0,0.0,0,5.594109003416006e-07,0,0.0,1,0.0,0,
5,5,20003,6,1,0,0.0,1,1.4176858121546557e-06,0,2.379643343388718e-06,0,0.0,0,
6,6,20003,7,1,0,0.0,0,2.8083983756928626e-06,0,7.929503617674708e-06,1,0.0,0,
7,7,19998,8,2,1,0.0,0,4.730997417671798e-06,0,2.057607215426031e-05,1,0.0,1,
8,8,19992,10,3,1,0.0,1,7.113106322932681e-06,1,4.3867504412937294e-05,1,2.139839983400872e-05,0,
9,9,19987,12,3,1,0.0,0,9.963703531576445e-06,2,8.213276944430186e-05,0,7.13042521130885e-05,1,
10,10,19980,14,3,1,0.0,1,1.3440052951626496e-05,1,0.00013714152518146802,1,0.00018502563427983095,0,
11,11,19977,15,2,1,0.0,0,1.769337246725077e-05,1,0.00021154162432082885,1,0.0003730701249371998,0,
12,12,19974,15,1,1,0.0,0,2.2947294090813997e-05,0,0.00030616419537296926,0,0.0006458575381446047,1,
13,13,19964,14,1,2,0.0,0,2.9232066353939576e-05,1,0.00041940670143313503,0,0.0010196807887207407,0,
14,14,19957,18,6,2,0.0,3,3.659639820605503e-05,0,0.0005484135641542981,1,0.0014867525370893344,2,
15,15,19946,19,3,2,0.0,0,4.484626881771712e-05,3,0.0006906000673127154,0,0.0020828368791431383,0,
16,16,19935,22,5,2,0.0,0,5.4128459464633326e-05,2,0.0008407990394739086,2,0.0028021151429463457,1,
17,17,19924,20,1,3,0.0,1,6.449094202899612e-05,0,0.0009991410153331803,0,0.003667239419279341,0,
18,18,19913,20,3,3,0.0,0,7.589963633089953e-05,1,0.0011618146721791645,2,0.004662907167545979,0,
19,19,19906,19,2,2,0.0,0,8.835136578844636e-05,1,0.0013313473918234412,1,0.005767529166251854,0,
20,20,19888,21,5,3,0.0,2,0.00010167611283964534,1,0.001507646705284301,1,0.006942101619688388,1,
21,21,19882,20,2,3,0.0,0,0.0001156756458701074,0,0.0016922290742498846,1,0.008160960340266898,1,
22,22,19866,20,3,3,0.0,1,0.00013000115729645364,2,0.0018857217439878018,0,0.009403813428874617,0,
23,23,19850,24,8,4,0.0,1,0.00014451653962787748,5,0.0020856430304672263,1,0.010646220113659666,1,
24,24,19833,25,5,4,0.0,0,0.000159485773462428,1,0.0022903944631110945,3,0.011888243476500951,1,
25,25,19812,25,4,4,0.0,1,0.00017495224015373205,2,0.0025017977018405775,1,0.013128419490678226,0,
26,26,19796,28,7,4,0.0,2,0.0001912559423839603,2,0.0027192455555653575,1,0.01435533806979073,2,
27,27,19782,26,3,5,0.0,0,0.00020854247182192545,2,0.002944157616533336,0,0.015597941761992164,1,
28,28,19768,25,4,5,0.0,0,0.00022689045844277096,1,0.0031736941147390515,2,0.016864945251556216,1,
29,29,19758,25,5,4,0.0,2,0.00024616460691594274,1,0.003407802118243595,2,0.018180268141708575,0,
30,30,19739,22,2,5,0.0,1,0.0002661118239780936,0,0.003645588162210616,0,0.019538793340014477,1,
31,31,19720,23,6,5,0.0,1,0.0002862060354646504,2,0.003883619913437538,1,0.02094288375330161,2,
32,32,19703,23,5,5,0.0,2,0.00030607288565372246,2,0.004120263938621892,0,0.022402325049175803,1,
33,33,19681,27,9,5,0.0,2,0.00032533423945886033,3,0.004349510677911149,2,0.02391662356285199,2,
34,34,19652,34,13,6,0.0,3,0.0003439278400343205,9,0.004569822573593789,1,0.025515081264852853,0,
35,35,19629,32,4,6,0.0,0,0.00036274048992652845,2,0.004777773030502313,2,0.027181933937033748,0,
36,36,19606,34,8,6,0.0,1,0.00038219098931957854,3,0.004974826660407971,3,0.02889464087747933,1,
37,37,19570,39,12,7,0.0,6,0.00040310744669965024,3,0.005165832368989552,2,0.03062243789531043,1,
38,38,19534,41,9,7,0.0,1,0.00042589934795260454,4,0.005355974455177688,4,0.03232791580305782,0,
39,39,19494,45,11,7,0.0,3,0.00045086817091578776,7,0.0055566161072605645,0,0.03396291536532127,1,
40,40,19462,49,12,8,0.0,1,0.0004785214766523298,4,0.005769855749693967,6,0.035502322933486936,1,
41,41,19428,50,9,8,0.0,1,0.0005090183569395033,2,0.006010479648783366,3,0.03692203005384103,3,
42,42,19398,52,11,9,0.0,0,0.000542284035725773,9,0.006283778458995943,2,0.038257326453788494,0,
43,43,19354,56,13,9,0.0,1,0.0005787814109879974,3,0.006595705545099007,7,0.03950469035335494,2,
44,44,19321,55,9,10,0.0,5,0.0006181279021433407,3,0.006959254988631974,1,0.04071758742718976,0,
45,45,19283,52,7,10,0.0,1,0.0006600759294757389,3,0.00737226416801357,3,0.04189030530843154,0,
46,46,19229,53,12,11,0.0,3,0.0007039612918277119,5,0.00783697259784863,3,0.043015115370020146,1,
47,47,19187,55,13,11,0.0,2,0.000749163328392916,3,0.008347797954339403,2,0.044077648061178185,6,
48,48,19130,59,15,11,0.0,4,0.000794790146704405,6,0.00889486667866965,1,0.045164750063071316,4,
49,49,19079,66,19,12,0.0,3,0.0008404251564233525,10,0.009463658333826789,3,0.04636670167140778,3,
50,50,19031,66,13,13,0.0,5,0.0008862558622973183,3,0.01004148267151991,3,0.04781575396452313,2,
51,51,18983,61,8,11,0.0,1,0.0009320443511933918,4,0.010615389290775261,0,0.049611322001996395,3,
52,52,18950,58,10,12,0.0,2,0.000977884134820118,3,0.011168960318830783,2,0.05183333252044452,3,
53,53,18881,61,17,14,0.0,2,0.0010233522428353449,7,0.011691143127485202,6,0.054518308678722156,2,
54,54,18830,65,18,13,0.0,3,0.0010683555617536351,10,0.01217985699874675,3,0.05765601273772838,2,
55,55,18770,66,16,14,0.0,2,0.0011131869733795891,7,0.01263292179415276,6,0.061204551547457846,1,
56,56,18705,66,15,13,0.0,3,0.001158178010116712,9,0.013062377328400644,1,0.06506652953893705,2,
57,57,18654,62,11,15,0.0,2,0.001204183973242442,5,0.01347053323236492,3,0.06913988147884081,1,
58,58,18599,62,16,16,0.0,3,0.0012514850642733463,7,0.013864868342947107,4,0.07328687313315846,2,
59,59,18535,62,16,16,0.0,0,0.0013004562713860007,8,0.014249447085318443,5,0.07739641582976375,3,
60,60,18472,66,20,16,0.0,3,0.0013512115678458495,6,0.014630611511905475,8,0.08138746646069422,3,
61,61,18416,68,18,15,0.0,8,0.0014035207182469228,4,0.015023140817353679,4,0.08521441960866942,2,
62,62,18367,66,15,16,0.0,5,0.0014567692650554833,7,0.015435971246953494,2,0.08884893517495845,1,
63,63,18302,71,22,17,0.0,4,0.0015104096789479483,11,0.015874450186696927,6,0.09225911782377148,1,
64,64,18233,73,20,18,0.0,3,0.001564255365140776,7,0.016345414152204862,6,0.09540595087474468,4,
65,65,18165,75,20,18,0.0,6,0.0016179507757673622,7,0.01685097986162971,6,0.09830196375937439,1,
66,66,18090,77,21,19,0.0,4,0.0016714403719370976,12,0.017394963442148095,4,0.10091484864664257,1,
67,67,18027,75,17,18,0.0,2,0.0017251802863600964,7,0.01797622601670015,6,0.1032383891690469,2,
68,68,17961,72,16,18,0.0,3,0.0017791227974291524,5,0.01859582990556769,4,0.10526768749733846,4,
69,69,17875,79,27,20,0.0,4,0.001833113320646435,18,0.01924696799902711,3,0.1070419142528471,2,
70,70,17803,73,14,20,0.0,1,0.0018882480610428708,4,0.01991927500024388,6,0.10858652081209991,3,
71,71,17722,72,19,19,0.0,3,0.0019440010695337276,10,0.020605180499273987,2,0.10997206169644132,4,
72,72,17651,70,19,21,0.0,3,0.0020009466329454027,9,0.02128695548873422,4,0.1112836154524319,3,
73,73,17580,64,15,18,0.0,3,0.0020588773056808966,8,0.021952646884710856,2,0.11259595154428528,2,
74,74,17514,59,16,20,0.0,6,0.002117481952595163,7,0.022583473928637812,3,0.11396369334614899,0,
75,75,17433,61,23,21,0.0,5,0.0021761527097296407,10,0.02316458355459222,7,0.1153707018323566,1,
76,76,17356,59,19,20,0.0,1,0.0022344693624962234,9,0.023691261926618763,5,0.11677412484685469,4,
77,77,17280,55,17,21,0.0,2,0.0022918669587381315,8,0.02416090129753842,6,0.11815217259638754,1,
78,78,17206,50,16,19,0.0,7,0.0023478502181792076,3,0.024581669607337493,3,0.11943438616961678,3,
79,79,17138,45,16,19,0.0,2,0.0024012985442185423,7,0.024957536177455896,4,0.12061933709756727,3,
80,80,17064,38,13,20,0.0,4,0.002451377379521765,5,0.02529508468581328,2,0.12170364711543646,2,
81,81,16980,44,26,20,0.0,5,0.0024967805972002655,11,0.025592492574121255,7,0.12269015269617319,3,
82,82,16889,53,29,20,0.0,5,0.0025371899800881483,15,0.02585731940764194,7,0.12360979916857763,2,
83,83,16815,57,24,19,0.0,2,0.00257316845114708,7,0.02609719506210037,8,0.12447082103618558,7,
84,84,16730,59,22,20,0.0,5,0.002605151692765928,4,0.026328744912698574,8,0.12539042239378753,5,
85,85,16659,53,14,20,0.0,4,0.0026335856948938464,5,0.026572012339452594,4,0.12646525103273887,1,
86,86,16589,55,22,18,0.0,6,0.0026584990624285328,11,0.02683919430297545,4,0.12775419558020878,1,
87,87,16496,60,26,20,0.0,5,0.002680214988861432,11,0.027137800264074752,8,0.1292730411018646,2,
88,88,16421,58,19,21,0.0,3,0.002699138145238233,7,0.027475031422424485,8,0.1309785488418388,1,
89,89,16341,47,10,20,0.0,3,0.002715634679054049,1,0.02785485844014267,4,0.13276600391901658,2,
90,90,16268,48,22,21,0.0,1,0.002729350195584477,14,0.028274133299668516,6,0.13453635072728456,1,
91,91,16176,55,28,21,0.0,5,0.002741073826544185,15,0.028731409365500307,3,0.13616466425732004,5,
92,92,16109,51,17,21,0.0,2,0.002751611280721558,8,0.02921239402239107,4,0.13762630981674498,3,
93,93,16029,51,21,21,0.0,2,0.002761775115824584,12,0.02970232612702722,4,0.13889149714444007,3,
94,94,15961,47,17,21,0.0,0,0.002773035599329108,6,0.030182291568175954,10,0.13999158149114602,1,
95,95,15897,42,16,21,0.0,1,0.0027857427330138223,9,0.03064830804431333,5,0.14092513483664348,1,
96,96,15806,52,31,21,0.0,6,0.002800343550379582,16,0.03109136313948073,5,0.14168148836561206,4,
97,97,15726,56,25,21,0.0,6,0.002817616040301076,10,0.031511003323871224,4,0.14228407427722797,5,
98,98,15633,60,25,21,0.0,6,0.002837732086557923,12,0.031902669243546435,7,0.14278567664145003,0,
99,99,15552,58,19,21,0.0,2,0.002861352603974502,11,0.03226772254395307,3,0.14317923521811574,3,
100,100,15490,56,19,19,0.0,3,0.0028886966784846114,6,0.03259861792454853,6,0.14351824870060242,4,
101,101,15413,47,13,21,0.0,2,0.0029191952884048823,3,0.03289621788400424,6,0.14383642250064638,2,
102,102,15330,52,26,19,0.0,3,0.0029514313291032677,12,0.033159614537551244,6,0.14414477497242578,5,
103,103,15263,45,14,20,0.0,4,0.0029844099353956042,2,0.03339158249034483,6,0.14452098258013277,2,
104,104,15201,41,17,21,0.0,6,0.0030157351139250264,5,0.033596912352975836,2,0.14497531549399367,4,
105,105,15133,37,17,20,0.0,3,0.0030436785088829286,6,0.03377198786137978,5,0.14556800767558215,3,
106,106,15057,41,25,21,0.0,4,0.003066391568519489,9,0.03391744314589969,9,0.14631401827404825,3,
107,107,14990,37,17,20,0.0,5,0.0030828076270818638,7,0.03403923969030143,3,0.14722774213906129,2,
108,108,14923,34,18,21,0.0,3,0.0030922333401522135,8,0.03413454405709391,5,0.14828384570126302,2,
109,109,14865,27,13,18,0.0,2,0.0030947586283831033,2,0.034208369222582066,7,0.14943741187116202,2,
110,110,14787,28,21,19,0.0,9,0.0030900752133540496,7,0.034265798849570074,4,0.15062094134513174,1,
111,111,14713,23,15,19,0.0,7,0.0030786082663896543,5,0.034306790123428084,2,0.15173719066035687,1,
112,112,14655,18,14,19,0.0,4,0.003060425422006632,5,0.0343273282037343,3,0.15268352590045384,2,
113,113,14596,14,14,18,0.0,1,0.003035878125245101,4,0.03432053107893737,7,0.15337399165372176,2,
114,114,14552,15,15,13,0.0,3,0.0030052329531900152,5,0.03428509583589808,6,0.15374017099848294,1,
115,115,14482,20,20,15,0.0,2,0.0029689248956652464,8,0.034220829334216094,5,0.1537256038777688,5,
116,116,14413,19,17,18,0.0,1,0.0029278155598343077,7,0.03413222400957792,7,0.1533803355953727,2,
117,117,14353,15,13,17,0.0,5,0.002882900498933366,5,0.034030393921757836,1,0.15272755656221437,2,
118,118,14298,11,11,15,0.0,3,0.0028352223949112735,5,0.033913416561428,3,0.15183812072340658,0,
119,119,14259,11,11,11,0.0,1,0.002785780439332583,5,0.03378185262615836,5,0.15072636496847536,0,
120,120,14228,10,10,11,0.0,4,0.002735352016256836,3,0.03363318885231256,2,0.14938263455180237,1,
121,121,14199,9,9,9,0.0,1,0.0026842790730444007,2,0.03345845741504105,2,0.14778052951764484,4,
122,122,14165,9,9,9,0.0,1,0.0026325440312285108,3,0.033249713576050055,2,0.14594923492843648,3,
123,123,14128,8,8,9,0.0,3,0.002579940162437009,0,0.03299670631931314,4,0.1439318508664755,1,
124,124,14107,7,7,7,0.0,4,0.002525716458365182,2,0.03269433337108879,0,0.14177876920628524,1,
125,125,14094,4,4,6,0.0,1,0.0024693071915372435,2,0.03233139036474308,0,0.13953845679440727,1,
126,126,14076,5,5,4,0.0,1,0.0024100921410121177,3,0.03189939175927747,1,0.13723194828997168,0,
127,127,14062,3,3,5,0.0,0,0.002347832224670985,2,0.03139002796382192,0,0.13484139560192948,1,
128,128,14047,2,2,3,0.0,0,0.002282457018472354,0,0.030794351140014862,2,0.13235250030456694,0,
129,129,14036,5,5,2,0.0,1,0.0022139270088900025,2,0.030111526851909907,0,0.12971858114771143,2,
130,130,14016,8,8,5,0.0,1,0.002142526114075331,4,0.029340057809368332,2,0.1269400984891447,1,
131,131,13991,8,8,8,0.0,2,0.0020688400292256464,2,0.028488102739872328,3,0.12400762584200929,1,
132,132,13971,5,5,7,0.0,0,0.0019934943399567613,3,0.027568970328525597,1,0.12094012773276862,1,
133,133,13963,3,3,5,0.0,0,0.0019174577091172582,0,0.02659686974604561,3,0.11776236849974593,0,
134,134,13957,1,1,3,0.0,0,0.0018413040822213358,0,0.02559319594011428,1,0.11448292453768343,0,
135,135,13954,3,3,1,0.0,1,0.0017655028730102563,2,0.024574199674714525,0,0.11110575049424222,0,
136,136,13944,2,2,3,0.0,0,0.001690468222607219,1,0.02355345709070705,1,0.1076213005060974,0,
137,137,13937,4,4,2,0.0,2,0.0016163970811128706,2,0.022541933086020465,0,0.10401548247109751,0,
138,138,13924,4,4,4,0.0,1,0.0015436597895368452,2,0.021544201173724443,1,0.10027542147592823,0,
139,139,13911,5,5,4,0.0,2,0.0014726223492114773,1,0.020564955212271016,0,0.09639370884762874,2,
140,140,13889,4,4,5,0.0,0,0.001403590558735084,2,0.01960455099726578,1,0.09241363386688545,1,
141,141,13881,3,3,3,0.0,0,0.0013369710847765893,2,0.018665281332087585,1,0.08838001260760518,0,
142,142,13872,4,4,3,0.0,0,0.0012731064145820408,1,0.017748855389186746,3,0.08434523610261481,0,
143,143,13854,4,4,4,0.0,1,0.0012122194470283976,0,0.016862998728193565,3,0.08035445765814508,0,
144,144,13842,5,5,4,0.0,0,0.0011543279074930567,4,0.016017696216113646,0,0.07643378467692334,1,
