,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,9999,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2,9999,3,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
3,3,9999,4,1,0,0.0,1,1.291278929522275e-07,0,0.0,0,0.0,0,1.0
4,4,9999,5,1,0,0.0,0,4.302830073893731e-07,1,0.0,0,0.0,0,1.0
5,5,9999,6,1,0,0.0,0,1.11653069771751e-06,0,0.0,1,0.0,0,1.0
6,6,9999,7,1,0,0.0,0,2.2512785783169533e-06,0,2.379643343388718e-06,1,0.0,0,1.0
7,7,9997,8,2,1,0.0,1,3.897404651509501e-06,1,1.0309146961063426e-05,0,0.0,0,1.0
8,8,9997,8,1,0,0.0,0,6.153227940068272e-06,1,2.61259324285463e-05,0,0.0,0,1.0
9,9,9993,8,1,1,0.0,1,9.100883909521574e-06,0,5.1754786262745456e-05,0,0.0,0,1.0
10,10,9992,8,1,1,0.0,0,1.2740833284240029e-05,0,8.71855511242407e-05,0,0.0,1,1.0
11,11,9987,10,3,1,0.0,0,1.703610229698622e-05,1,0.00013108442897341469,2,2.139839983400872e-05,0,1.0
12,12,9986,10,1,1,0.0,0,2.1976017557677586e-05,1,0.00018599652303015316,0,7.13042521130885e-05,0,1.0
13,13,9985,10,1,1,0.0,0,2.7535288284160774e-05,1,0.00025085127026429463,0,0.00016362723444582222,0,1.0
14,14,9984,10,1,1,0.0,0,3.374646406059191e-05,1,0.0003260214585972068,0,0.0003017658728241113,0,1.0
15,15,9983,10,1,1,0.0,1,4.066394454853513e-05,0,0.0004097423334541536,0,0.00048223030369878254,0,1.0
16,16,9982,9,1,1,0.0,0,4.821368297545627e-05,1,0.0004990899377335878,0,0.0006965165160626206,0,1.0
17,17,9980,9,2,2,0.0,0,5.6391246149280296e-05,1,0.0005904879677751862,0,0.0009332179812774634,1,1.0
18,18,9978,10,3,2,0.0,0,6.512345242732133e-05,1,0.000680203402544907,1,0.0012012947288006868,1,1.0
19,19,9976,9,1,2,0.0,1,7.43678928352231e-05,0,0.0007671226091594245,0,0.0015172254365656908,0,1.0
20,20,9966,11,4,2,0.0,2,8.396202731606661e-05,2,0.0008490542309032576,0,0.0018913914044471382,0,1.0
21,21,9960,12,3,2,0.0,0,9.396002654044888e-05,0,0.0009252275872752992,3,0.0023324249763733867,0,1.0
22,22,9952,14,4,2,0.0,0,0.00010415412826350044,2,0.0010015615543672101,1,0.002833759601765669,1,1.0
23,23,9951,13,1,1,0.0,0,0.00011464642574262507,1,0.0010815230645098498,0,0.0034005197362643163,0,1.0
24,24,9940,17,6,2,0.0,3,0.00012537819321237757,1,0.0011693358349591026,1,0.004017648213770985,1,1.0
25,25,9939,17,2,1,0.0,1,0.00013637272327443633,1,0.0012690688280487551,0,0.004696107112898384,0,1.0
26,26,9934,20,6,3,0.0,2,0.00014760972265966498,3,0.0013800504220962586,1,0.005422872981687311,0,1.0
27,27,9844,55,38,3,0.0,7,0.00015929866035791396,15,0.0015026721892027475,12,0.006187745451688119,4,0.9945054945054945
28,28,9841,53,2,2,0.0,0,0.00017326044744409792,1,0.0016619699929741715,1,0.007054743654763438,0,0.9945054945054945
29,29,9800,60,12,4,0.0,1,0.00019017457835184654,7,0.0018659585143178247,3,0.00802561890751696,1,0.989010989010989
30,30,9791,59,5,3,0.0,1,0.00021193477537058013,2,0.0021358673969145143,1,0.00914935153190774,1,0.989010989010989
31,31,9789,54,2,2,0.0,0,0.00023907439942629316,2,0.0024769207305983037,0,0.010441794334069944,0,0.989010989010989
32,32,9780,51,4,4,0.0,2,0.000271778320697903,1,0.0028849629031707513,1,0.011887823196620446,0,0.989010989010989
33,33,9771,48,5,5,0.0,3,0.00030935609388136264,0,0.0033487858461781145,2,0.013453921370602043,0,0.989010989010989
34,34,9528,128,88,3,0.0,16,0.0003504705248654565,40,0.0038535130978511385,19,0.015083432414620361,13,0.9835164835164835
35,35,9503,127,10,6,0.0,2,0.00039855117529401067,3,0.00442409676481462,3,0.016987593647210718,2,0.9835164835164835
36,36,9442,136,22,10,0.0,6,0.0004537701376879358,8,0.005062847606968863,7,0.019233593489295823,1,0.978021978021978
37,37,9398,138,17,8,0.0,4,0.0005187643463480698,11,0.005797526284804608,2,0.021975870146542353,0,0.978021978021978
38,38,9379,130,8,6,0.0,2,0.0005947041885363731,0,0.006631194152492546,4,0.02524222553004676,2,0.978021978021978
39,39,9355,122,10,6,0.0,0,0.0006806084357795464,4,0.007563428519203465,1,0.029012632724691283,5,0.978021978021978
40,40,9342,109,6,5,0.0,2,0.0007749917366951328,2,0.008574018046676552,2,0.03326980711265696,0,0.978021978021978
41,41,9252,114,24,12,0.0,4,0.0008748358613059351,11,0.009637503920891313,8,0.03789712204031961,1,0.978021978021978
42,42,9139,132,38,13,0.0,6,0.0009778832536762947,15,0.01073576249316206,11,0.042799752008890316,6,0.9725274725274725
43,43,8903,180,70,14,0.0,12,0.0010826044680886683,28,0.011862175239357172,19,0.04794068470923751,11,0.967032967032967
44,44,8894,160,4,4,0.0,2,0.0011902999865757843,0,0.01304328028165636,1,0.05342029755931312,1,0.967032967032967
45,45,8839,148,13,12,0.0,4,0.0013002099199765143,4,0.014280549525913795,2,0.05923671394136036,3,0.967032967032967
46,46,8719,157,36,18,0.0,11,0.0014124959316028887,12,0.015580418570867961,7,0.06546363372186179,6,0.9615384615384616
47,47,8681,143,14,13,0.0,4,0.0015265720205812183,5,0.01693632370555155,4,0.07213744629331315,1,0.9615384615384616
48,48,8651,129,15,16,0.0,5,0.0016406185360094878,6,0.01832546039049431,3,0.07916943606283057,1,0.9615384615384616
49,49,8609,120,20,12,0.0,3,0.0017529740052639265,8,0.019720876630174786,5,0.0864459547813022,4,0.9615384615384616
50,50,8565,102,11,15,0.0,1,0.0018618753648714668,4,0.02109554309720341,2,0.09384183731191574,4,0.9615384615384616
51,51,8510,91,18,14,0.0,3,0.0019651948930550296,7,0.022415488333467355,5,0.10122213862740606,3,0.9615384615384616
52,52,8476,77,15,15,0.0,3,0.002061414321978986,10,0.02365691041941885,2,0.10847025356432163,0,0.9615384615384616
53,53,8453,60,12,10,0.0,3,0.0021495780322335852,4,0.024792107837074757,2,0.11542947106916783,3,0.9615384615384616
54,54,8395,51,19,16,0.0,6,0.002228610793320112,8,0.025799932811475138,3,0.12199787846863867,2,0.9615384615384616
55,55,8326,51,27,13,0.0,7,0.002298400634723869,10,0.02666413833498409,7,0.12804722230665802,3,0.9615384615384616
56,56,8307,33,8,7,0.0,2,0.002359213036338122,2,0.027383417953011482,1,0.13351084817106743,3,0.9615384615384616
57,57,8254,28,20,10,0.0,3,0.002410826059117352,7,0.027952289711140846,6,0.13835144574640673,4,0.9560439560439561
58,58,8235,10,6,10,0.0,3,0.0024537716643816022,2,0.02838463334354077,0,0.14259319486546282,1,0.9560439560439561
59,59,8230,2,2,3,0.0,0,0.0024876919261168453,1,0.028681256426275642,1,0.14623186134561636,0,0.9560439560439561
60,60,8229,1,1,1,0.0,0,0.0025121719214517262,1,0.028848383934623866,0,0.1492537750352495,0,0.9560439560439561
61,61,8228,1,1,1,0.0,0,0.002526498301504582,1,0.02888451930434638,0,0.15161079548010906,0,0.9560439560439561
62,62,8227,2,2,1,0.0,1,0.002529879693477656,0,0.02878697031345847,1,0.15323134558191667,0,0.9560439560439561
63,63,8216,5,5,1,0.0,1,0.002521530525342517,3,0.028554679111563126,1,0.15404151968654395,0,0.9560439560439561
64,64,8211,1,1,3,0.0,0,0.00250128651168959,1,0.028188895187196097,0,0.1539806812350899,0,0.9560439560439561
65,65,8210,1,1,1,0.0,0,0.0024691247930307323,1,0.027692892967858023,0,0.15301208352282913,0,0.9560439560439561
66,66,8209,1,1,1,0.0,0,0.0024255437391668276,0,0.02707306661495963,1,0.15112827212015503,0,0.9560439560439561
67,67,8208,1,1,1,0.0,1,0.0023711798049673278,0,0.02633988200862328,0,0.14835205437285476,0,0.9560439560439561
68,68,8206,2,2,1,0.0,0,0.002306873533997605,2,0.025504181711585076,0,0.1447341871054274,0,0.9560439560439561
69,69,8202,3,3,2,0.0,1,0.0022338277508419393,1,0.02457935862267753,0,0.14034894618834395,1,0.9560439560439561
