,day,edges,num_infected,num_new_infections,num_new_removed,0-19 deaths,0-19 cases,20-49 deaths,20-49 cases,50-69 deaths,50-69 cases,70+ deaths,70+ cases,perc_above_left
0,0,9999,1,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,0.0,0,0.0,0,1.0
2,2,9999,3,1,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0
3,3,9999,4,1,0,0.0,0,1.291278929522275e-07,1,0.0,0,0.0,0,1.0
4,4,9999,5,1,0,0.0,0,5.594109003416006e-07,0,0.0,1,0.0,0,1.0
5,5,9998,6,1,0,0.0,1,1.4176858121546557e-06,0,2.379643343388718e-06,0,0.0,0,1.0
6,6,9998,7,1,0,0.0,1,2.8083983756928626e-06,0,7.929503617674708e-06,0,0.0,0,1.0
7,7,9997,7,1,1,0.0,0,4.730997417671798e-06,1,1.819642881087159e-05,0,0.0,0,1.0
8,8,9994,7,1,1,0.0,0,7.242234215884909e-06,1,3.3558357451873866e-05,0,0.0,0,1.0
9,9,9983,10,4,1,0.0,0,1.0393986538965818e-05,3,5.3627193672366833e-05,0,0.0,1,1.0
10,10,9981,10,1,1,0.0,0,1.4556583649344005e-05,0,7.745723530104784e-05,1,2.139839983400872e-05,0,1.0
11,11,9980,10,1,1,0.0,1,1.9815523152615493e-05,0,0.0001061596443857166,0,7.13042521130885e-05,0,1.0
12,12,9980,10,1,0,0.0,0,2.62852878419819e-05,1,0.00013914176560429203,0,0.00016362723444582222,0,1.0
13,13,9978,10,1,1,0.0,0,3.396760848185319e-05,1,0.00017661276779971788,0,0.0003017658728241113,0,1.0
14,14,9977,11,2,1,0.0,0,4.275975584693152e-05,1,0.00021776763701343346,1,0.00048223030369878254,0,1.0
15,15,9974,12,2,1,0.0,0,5.2554949569848206e-05,0,0.00026363310784305007,2,0.0006965165160626206,0,1.0
16,16,9972,11,1,2,0.0,0,6.310695196245429e-05,1,0.0003180932519512959,0,0.0009332179812774634,0,1.0
17,17,9965,11,2,1,0.0,0,7.424968637381462e-05,1,0.00038253161120300414,1,0.001179896328966678,0,1.0
18,18,9958,13,4,2,0.0,2,8.577162975183639e-05,1,0.000461165388131969,0,0.0014245227846185935,1,1.0
19,19,9944,15,4,1,0.0,2,9.752153124957398e-05,0,0.0005537595327621799,0,0.001677858317722236,2,1.0
20,20,9941,14,1,1,0.0,0,0.00010925907321653732,0,0.0006590601487799769,1,0.001981132920884559,0,1.0
21,21,9694,71,59,2,0.0,9,0.0001207319556243669,27,0.0007759276507357974,13,0.0023559991639147742,10,0.9945054945054945
22,22,9689,68,1,3,0.0,0,0.00013511106850426643,0,0.000931375907651825,1,0.0030433788567247482,0,0.9945054945054945
23,23,9620,75,12,4,0.0,3,0.00015323057469239667,4,0.0011344569964598092,3,0.004115414034795702,2,0.989010989010989
24,24,9619,70,1,1,0.0,1,0.0001775758760163223,0,0.0014086146340926314,0,0.005738013435960835,0,0.989010989010989
25,25,9602,70,7,6,0.0,3,0.00020862792033475125,2,0.001757936766449442,0,0.007931901989034833,2,0.989010989010989
26,26,9565,70,8,1,0.0,2,0.0002462363941444837,1,0.002177973451915659,3,0.010699591808105785,2,0.989010989010989
27,27,9556,63,2,5,0.0,1,0.0002892114359065568,1,0.0026605600184689032,0,0.013985793532269563,0,0.989010989010989
28,28,9543,58,4,4,0.0,1,0.0003359214920619913,1,0.003186588331643193,1,0.017680167200157568,1,0.989010989010989
29,29,9532,50,2,3,0.0,0,0.0003844681077033845,0,0.003739069053834597,2,0.021671026048395266,0,0.989010989010989
30,30,9524,42,2,4,0.0,0,0.00043281232559327394,1,0.004301126614731716,1,0.025802091021293046,0,0.989010989010989
31,31,9508,35,3,5,0.0,0,0.00047916413348253315,2,0.004856113759657644,0,0.029918451693657994,1,0.989010989010989
32,32,9400,52,27,7,0.0,10,0.0005220950302308416,7,0.005388320758158799,6,0.03388691265908597,4,0.9835164835164835
33,33,9375,50,8,6,0.0,2,0.0005612581625864643,1,0.005897444920269166,4,0.0376611489765055,1,0.9835164835164835
34,34,9364,42,3,6,0.0,1,0.000596215516701676,1,0.006384068261786875,1,0.041190119208157405,0,0.9835164835164835
35,35,9339,35,4,7,0.0,1,0.0006270695353288761,3,0.006851459722095166,0,0.04445416532753312,0,0.9835164835164835
36,36,9328,28,4,5,0.0,0,0.0006540681242834661,2,0.007300112559915764,2,0.04742176975184989,0,0.9835164835164835
37,37,9323,19,1,3,0.0,0,0.0006773880752757845,0,0.007729913541485512,1,0.05004725722967081,0,0.9835164835164835
38,38,9312,13,4,5,0.0,2,0.0006970668478581212,1,0.008135554163705752,1,0.05228087979918091,0,0.9835164835164835
39,39,9294,8,5,6,0.0,1,0.0007131686205983998,2,0.008512058519550484,1,0.05407682283598242,1,0.9835164835164835
40,40,9263,8,8,5,0.0,5,0.0007257527395675303,1,0.008853693954638378,0,0.05542102318188499,2,0.9835164835164835
41,41,9253,4,4,3,0.0,0,0.0007348239279451568,2,0.00915276919965732,0,0.05634230065535862,2,0.9835164835164835
42,42,9241,5,5,2,0.0,1,0.0007406090194193723,2,0.009401856379869223,1,0.05690653960369609,1,0.9835164835164835
43,43,9197,14,14,5,0.0,2,0.0007433863624277138,7,0.009595794066708876,1,0.057191327299941794,4,0.9835164835164835
44,44,9182,10,4,6,0.0,2,0.0007441997959334503,1,0.009731416942531284,1,0.05734541209189319,0,0.9835164835164835
45,45,9175,6,4,3,0.0,2,0.0007435954799623966,2,0.009809047197542803,0,0.057439066866925494,0,0.9835164835164835
46,46,9172,2,2,2,0.0,1,0.0007424328732177148,1,0.00982934660341385,0,0.05754137188644975,0,0.9835164835164835
47,47,9171,1,1,1,0.0,1,0.0007410715939596088,0,0.009794229272157578,0,0.05766150376947488,0,0.9835164835164835
48,48,9170,2,2,1,0.0,0,0.0007395169336739533,1,0.009705394318998369,0,0.05777175812971842,1,0.9835164835164835
49,49,9165,4,4,2,0.0,1,0.0007376126377914364,2,0.009564853864456902,1,0.05784374386368569,0,0.9835164835164835
50,50,9162,1,1,2,0.0,0,0.0007351503141058466,0,0.009377553556134047,1,0.05782641888104281,0,0.9835164835164835
51,51,9159,1,1,1,0.0,0,0.0007317126618989106,0,0.009149942945529593,0,0.05767787021769247,1,0.9835164835164835
52,52,9158,2,2,1,0.0,0,0.0007269300846864501,1,0.008888396292478541,0,0.05737660501622705,1,0.9835164835164835
53,53,9153,3,3,2,0.0,1,0.0007204969548220742,0,0.008599571984621458,2,0.05691490546970941,0,0.9835164835164835
54,54,9140,7,7,3,0.0,1,0.0007120535491501564,2,0.008293511987271898,3,0.056287564742268675,1,0.9835164835164835
55,55,9080,17,15,4,0.0,4,0.0007016224391316405,6,0.007983272008427075,3,0.055518767033717754,2,0.978021978021978
56,56,9078,12,1,2,0.0,1,0.0006898803810520003,0,0.007685088700070442,0,0.05465574464815592,0,0.978021978021978
57,57,9056,12,6,3,0.0,4,0.0006771560474873897,2,0.007409907574222668,0,0.05372310595918853,0,0.978021978021978
58,58,9041,13,7,1,0.0,3,0.0006642521535739357,4,0.0071656433382352005,0,0.05275006588893167,0,0.978021978021978
59,59,9032,9,2,4,0.0,0,0.0006519476290436699,1,0.006953154374721407,1,0.05174140605167453,0,0.978021978021978
60,60,9001,9,6,4,0.0,2,0.0006406647724856846,1,0.006770986997090491,2,0.05068776148907977,1,0.978021978021978
61,61,9000,4,1,1,0.0,0,0.0006307618247366547,1,0.0066179240553490126,0,0.04959323319860641,0,0.978021978021978
62,62,8992,2,2,2,0.0,1,0.0006222810292477877,1,0.006489021753686291,0,0.04844548470675768,0,0.978021978021978
63,63,8991,2,2,1,0.0,1,0.0006150615923815989,0,0.006379660426815916,1,0.04724124509230968,0,0.978021978021978
64,64,8977,6,6,2,0.0,2,0.0006086857134475997,0,0.006285367677311947,3,0.045971830140167154,1,0.978021978021978
65,65,8958,9,8,3,0.0,0,0.0006026344122969504,3,0.006206531530871217,4,0.04464956914823642,1,0.978021978021978
66,66,8949,9,5,2,0.0,1,0.0005966889109291723,2,0.006149243821491652,2,0.04329566899801698,0,0.978021978021978
67,67,8943,7,3,3,0.0,0,0.000590644590816274,2,0.0061199883707284885,1,0.04192721167417704,0,0.978021978021978
68,68,8927,7,5,4,0.0,2,0.0005845848930007744,2,0.0061245357546903965,0,0.040561792620801985,1,0.978021978021978
