,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,39984,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,1.0
1,1,39984,2,1,0,0.0,0,0.0,0,0.0,1,0.0,0,2.6563549907341742e-05,0,0.0,0,1.0
2,2,39984,3,1,0,0.0,0,0.0,0,1.6602161199973789e-06,1,0.0,0,8.851568688801671e-05,0,0.0,0,1.0
3,3,39984,4,1,0,0.0,1,0.0,0,7.192427392840467e-06,0,0.0,0,0.00020312360934082241,0,0.0,0,1.0
4,4,39984,5,1,0,3.689368322745215e-08,1,0.0,0,1.8227392894124766e-05,0,0.0,0,0.0003746061801479168,0,0.0,0,1.0
5,5,39984,6,1,0,1.598316837619458e-07,0,0.0,1,3.61079868036313e-05,0,0.0,0,0.0005986311517918501,0,0.0,0,1.0
6,6,39984,7,1,0,4.0505308399198835e-07,1,9.961295800113708e-07,0,6.0827122606194436e-05,0,0.0,0,0.0008646418133711034,0,0.0,0,1.0
7,7,39979,12,6,1,8.39293208848429e-07,2,3.319326457184416e-06,1,9.145424362308087e-05,2,0.0,1,0.0011584783260612905,0,0.0,0,1.0
8,8,39974,17,6,1,1.5484388975590647e-06,3,8.613237849382564e-06,0,0.00012976500308587715,2,7.083594120723146e-06,1,0.0014646999431323412,0,0.0,0,1.0
9,9,39970,21,5,1,2.6709882004096094e-06,4,1.7367008269368478e-05,0,0.00017833292886965067,0,3.0687713352484064e-05,0,0.0017683743820517506,0,0.0,1,1.0
10,10,39965,26,6,1,4.410782061445965e-06,4,3.0065696650675126e-05,0,0.0002385212313703875,2,7.777026833177413e-05,0,0.002056296547389638,0,5.980515755238171e-05,0,1.0
11,11,39937,53,29,2,7.0009596709495925e-06,18,4.647163453755301e-05,2,0.00031457751115483425,5,0.00015406085987995072,1,0.002317696398714134,3,0.00019928415511708523,0,1.0
12,12,39917,69,19,3,1.119926155892623e-05,11,6.788363031761379e-05,2,0.00041439336081598385,2,0.0002666128462968948,3,0.0026242263844989695,0,0.00045731235100768096,1,1.0
13,13,39858,125,60,4,1.764538895177677e-05,35,9.598091739003743e-05,8,0.0005431687950918101,6,0.00043505996865752497,4,0.0029970484225314256,7,0.0009031932476980482,0,1.0
14,14,39466,495,377,7,2.8058432724016895e-05,249,0.00013959849243266512,55,0.0007139675560637153,39,0.0006928101257472401,21,0.003671108802027245,10,0.0015470419086385918,3,0.9849624060150376
15,15,39306,625,149,19,5.219172019640029e-05,110,0.00025670821768838535,19,0.0009935755602945321,12,0.0012050774218352333,5,0.004985852815478613,2,0.0025833817933115575,1,0.9849624060150376
16,16,38920,932,339,32,9.767104855930441e-05,234,0.0004886459332216131,38,0.0014237449779420453,25,0.002069238562611832,27,0.00719169365439059,9,0.0041092430004143555,6,0.9699248120300752
17,17,38435,1284,403,51,0.00018003476199660224,270,0.0009145182154408101,49,0.0020871768128564437,41,0.0035757292466345758,32,0.010718427125354812,10,0.0065754343273394045,1,0.9548872180451128
18,18,37315,2078,871,77,0.00031521386893212965,580,0.0016129587324865615,126,0.0030768980933762744,74,0.006038177321841283,67,0.015918562705554504,18,0.010170957517611613,6,0.9022556390977443
19,19,36167,2708,749,119,0.0005313285474885099,476,0.002738578655236718,98,0.004543571042263731,87,0.010080457140406911,55,0.023362969713777094,26,0.015426392443072904,7,0.8646616541353384
20,20,36167,2709,1,0,0.0008551050840396982,1,0.004436828726483803,0,0.006679563729588026,0,0.01632766966029863,0,0.03385816525416353,0,0.02283538604796136,0,0.8646616541353384
21,21,36167,2710,1,0,0.0012985529734375059,1,0.006779776642343712,0,0.009560731923843567,0,0.025095092378778057,0,0.04764181673340342,0,0.03255012643427921,0,0.8646616541353384
22,22,36167,2711,1,0,0.001862704545841607,1,0.00977966829628141,0,0.013213148071945392,0,0.03646275309696409,0,0.06478544475197881,0,0.044569511958586376,0,0.8646616541353384
23,23,36167,2712,1,0,0.002529812225394329,1,0.013344967212459544,0,0.017533726809997513,0,0.05009418235962468,0,0.08479529509883656,0,0.058520294436221594,0,0.8646616541353384
24,24,36167,2713,1,0,0.0032706420377977777,0,0.017319995359937952,0,0.022340250442719697,0,0.0653930184065994,1,0.10683885993648697,0,0.07380882908243024,0,0.8646616541353384
25,25,36167,2714,1,0,0.00404995911747896,1,0.02151506148363068,0,0.0274074176663922,0,0.08162938097934733,0,0.1299027752997477,0,0.08972917436594013,0,0.8646616541353384
26,26,36167,2715,1,0,0.00483144228359322,1,0.025733142763360323,0,0.03249929605019234,0,0.09803418166112547,0,0.15293493537114716,0,0.10555847100426666,0,0.8646616541353384
27,27,36167,2716,1,0,0.005581316771703317,1,0.029790182543390237,0,0.03739427780238514,0,0.1138872171242596,0,0.17495348673009822,0,0.12062901423400584,0,0.8646616541353384
28,28,36167,2717,1,0,0.006270795619170584,0,0.033528531225687955,0,0.041901781185169414,0,0.1285655126204445,1,0.19511935030448,0,0.13437540304680623,0,0.8646616541353384
29,29,36167,2718,1,0,0.006877333520514091,0,0.03682427486412712,0,0.04587150813835872,1,0.14158148690802252,0,0.21277588608826956,0,0.14635956018363988,0,0.8646616541353384
30,30,36167,2719,1,0,0.007385060053460317,1,0.03958968832458079,0,0.04919837933315477,0,0.15258228120456108,0,0.22746219778027596,0,0.15627818210324274,0,0.8646616541353384
31,31,36167,2720,1,0,0.007784571292737292,1,0.04177213870788815,0,0.05181865578064124,0,0.1613538144235706,0,0.2389071756461742,0,0.16395747641964065,0,0.8646616541353384
32,32,36167,2721,1,0,0.008072269077662123,1,0.04335064677755255,0,0.05370755185659531,0,0.16780266355586088,0,0.2470107997824633,0,0.1693395942421576,0,0.8646616541353384
33,33,36167,2722,1,0,0.00824949220048512,0,0.044331106886075444,1,0.054872181088044605,0,0.17193930693944848,0,0.2518181327061673,0,0.17246439487612322,0,0.8646616541353384
34,34,36167,2723,1,0,0.008321479460139534,0,0.04474193280742051,0,0.05534538809509309,1,0.17385827038654036,0,0.25349019915947607,0,0.17344933525486564,0,0.8646616541353384
35,35,36167,2724,1,0,0.008296399194069121,1,0.04462703193442906,0,0.05518105489805954,0,0.17371806137815404,0,0.25227478585447405,0,0.1724694864046112,0,0.8646616541353384
36,36,36167,2725,1,0,0.008184448481765446,1,0.04404177992792003,0,0.054445408489720154,0,0.1717222435783722,0,0.24847919070342844,0,0.16973900436138373,0,0.8646616541353384
37,37,36167,2726,1,0,0.007997030752624652,1,0.0430477883054679,0,0.053213406684412205,0,0.16810251568689205,0,0.242446142461375,0,0.16549484229171463,0,0.8646616541353384
38,38,36167,2727,1,0,0.007746093285127232,0,0.04170933747918018,0,0.05156294364112213,0,0.16310426106078538,0,0.2345334947429942,1,0.15998308035130426,0,0.8646616541353384
39,39,36167,2728,1,0,0.007443529047506226,1,0.040090448064176394,0,0.04957151601418877,0,0.15697473229056408,0,0.22512441575689154,0,0.15344795492128654,0,0.8646616541353384
