,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,199996,10,10,0,0.0,6,0.0,2,0.0,1,0.0,1,0.0,0,0.0,0,1.0
1,1,199996,20,10,0,2.2136209936471291e-07,9,1.9922591600227416e-06,1,1.6602161199973789e-06,0,7.083594120723146e-06,0,0.0,0,0.0,0,1.0
2,2,199991,34,15,1,1.0696711522540312e-06,13,7.634782494380203e-06,1,5.532211272843088e-06,0,2.3604119231760915e-05,1,0.0,0,0.0,0,1.0
3,3,199987,46,14,2,3.278750387512289e-06,10,1.9549672575938176e-05,1,1.269518162128168e-05,1,6.124974322073636e-05,2,0.0,0,0.0,0,1.0
4,4,199973,68,24,2,7.627873243321284e-06,21,4.00279279309351e-05,1,2.5073021302346997e-05,2,0.0001376660182531447,0,0.0,0,0.0,0,1.0
5,5,199900,147,83,4,1.5342777947977308e-05,64,7.087742288135891e-05,10,4.626696093668266e-05,3,0.0002610089289597692,4,0.0,2,0.0,0,0.9993211133740665
6,6,199861,189,49,7,2.92159259829047e-05,27,0.00012224190617089522,8,8.278017872619605e-05,8,0.0004671319111302169,4,5.3127099814683484e-05,2,0.0,0,0.9986422267481331
7,7,199785,263,85,11,5.1261934045380384e-05,53,0.00020458519795273753,15,0.0001510861758500676,10,0.0007911015331677365,5,0.0002301584735907169,2,0.0,0,0.9979633401221996
8,8,199628,413,166,16,8.486856494454645e-05,109,0.00033988274892705574,23,0.00027472875347243095,15,0.0012869242458818761,10,0.0006364056922723617,8,0.0,1,0.9972844534962662
9,9,198432,1589,1200,24,0.0001348832908879965,805,0.0005599835450744265,138,0.0004914168002374341,127,0.0020467329695360538,78,0.0015449993520122458,45,5.980515755238171e-05,7,0.9952477936184657
10,10,198161,1799,273,63,0.0002323056552487801,196,0.0010162626373167937,27,0.0010293304124833421,17,0.0036542925756598383,26,0.004256207123495691,7,0.0006179202579837573,0,0.9925322471147319
11,11,196858,2973,1273,99,0.00039490557167556835,864,0.0017903195986430783,157,0.0019980128418479915,119,0.006498037170693606,82,0.009469897924660464,41,0.0018523014368272775,10,0.9843856076035302
12,12,194950,4637,1825,161,0.0006738346443395267,1195,0.003126923566647573,221,0.00373141277905149,193,0.011544645966625341,134,0.01908962979838596,70,0.00464262612272325,12,0.9708078750848609
13,13,192969,6258,1878,256,0.0011288936572033635,1237,0.005315620096580316,229,0.006643763032567033,181,0.020075231600260812,156,0.03553242440742889,59,0.009961977826340606,16,0.956551255940258
14,14,190667,7974,2096,375,0.0018320760739422247,1402,0.008712261092955248,261,0.011208768480123893,156,0.03373883421949446,187,0.06135230041079631,74,0.019302374136617215,16,0.9443312966734555
15,15,187827,9940,2496,525,0.0028654318098426963,1690,0.01373015782976643,310,0.017901766854443925,180,0.05459262579889384,211,0.09971150227733881,85,0.03430183319115248,20,0.9253224711473184
16,16,182923,13505,4275,700,0.004316013439349776,2880,0.020807999814261062,504,0.027164340046586934,396,0.08488800862826876,334,0.1537450169244914,125,0.056854887297925795,36,0.8947725729803123
17,17,177921,16711,4164,948,0.0063061633256307455,2762,0.030536714641802555,570,0.03967109249241919,382,0.12764056066228377,274,0.22733658195905168,137,0.08965419635221607,39,0.8594704684317719
18,18,171831,20239,4782,1226,0.00895539865655385,3134,0.043570369939418076,626,0.05606914821206435,485,0.18541153077463263,356,0.3244993937475222,151,0.135651794223375,30,0.8221317040054311
19,19,164393,24308,5671,1559,0.012402189751417483,3756,0.060655908199663135,693,0.07726320134651404,544,0.2612201182897201,462,0.4495856712732554,175,0.19750731466736163,41,0.781398506449423
20,20,164393,24318,10,0,0.016790856779007556,8,0.08256914142344302,0,0.10422012325205894,1,0.358232403299053,1,0.6071327725254395,0,0.278100311896266,0,0.781398506449423
21,21,164393,24328,10,0,0.022109682587324216,6,0.10930014093002374,2,0.1369674672863456,1,0.4760846210388159,0,0.7964019228321648,1,0.3770499722636654,0,0.781398506449423
22,22,164393,24338,10,0,0.028276792974016574,8,0.14045360768341644,2,0.17508786379774877,0,0.6129889557385672,0,1.014260649872137,0,0.4925781461661216,0,0.781398506449423
23,23,164393,24348,10,0,0.03507942050316929,7,0.17495456257266684,2,0.2173094683903404,0,0.7642187011480339,1,1.2531519288499762,0,0.6204807538394934,0,0.781398506449423
24,24,164393,24358,10,0,0.0422342706036884,7,0.2113588139467271,1,0.2618894706373026,2,0.9234732470897249,0,1.5031906535362847,0,0.7552701117992712,0,0.781398506449423
25,25,164393,24368,10,0,0.049430931803508896,6,0.2480755859852248,1,0.30689257557722294,1,1.0838303849849378,2,1.753625872880087,0,0.8909946666064971,0,0.781398506449423
26,26,164393,24378,10,0,0.05636805209994648,3,0.283555573099923,3,0.35042123270978837,2,1.2385768485426585,1,1.994079402585586,1,1.0219154805894815,0,0.781398506449423
27,27,164393,24388,10,0,0.06277927342412341,6,0.3164273596287224,1,0.39078928803956997,3,1.3817690316086446,0,2.2154548627201947,0,1.1429865138796174,0,0.781398506449423
28,28,164393,24398,10,0,0.06844920967829617,7,0.34557677579170526,0,0.4266252647976343,1,1.5085919767447236,2,2.4104250832512926,0,1.250142371097044,0,0.781398506449423
