,day,edges,num_infected,num_new_infections,num_new_removed
0,0,11928190,10,10,0
1,1,11928190,10,0,0
2,2,11928190,10,0,0
3,3,11928182,17,8,1
4,4,11928153,45,29,1
5,5,11928144,52,9,2
6,6,11927994,199,150,3
7,7,11927364,820,629,8
8,8,11926778,1374,582,28
9,9,11925763,2328,1012,58
10,10,11923684,4295,2075,108
11,11,11918570,9161,5069,203
12,12,11904668,22474,13712,399
13,13,11879954,45412,23848,910
14,14,11826724,93514,50032,1930
15,15,11734563,172349,82832,3997
16,16,11590859,285526,120924,7747
17,17,11371359,441129,169361,13758
18,18,11039363,645530,227162,22761
19,19,10589090,873845,263862,35547
20,20,9983887,1113648,291893,52090
21,21,9238509,1325741,284159,72064
22,22,8364244,1483468,252117,94384
23,23,7376876,1573108,206862,117205
24,24,6329052,1586110,152100,139025
25,25,5259306,1531560,103852,158156
26,26,4213901,1422508,64665,173139
27,27,3239760,1274272,36353,183008
28,28,2367714,1102580,18803,187057
29,29,1625435,919259,8642,184763
30,30,1031537,734236,3438,174833
31,31,587819,554189,1089,157340
32,32,285302,385539,308,130690
33,33,105482,234263,51,95393
34,34,22213,108013,4,54614
35,35,942,22437,1,17221
36,36,0,24,0,891
37,37,0,0,0,0
38,38,0,0,0,0
39,39,0,0,0,0
40,40,0,0,0,0
41,41,0,0,0,0
42,42,0,0,0,0
43,43,0,0,0,0
44,44,0,0,0,0
45,45,0,0,0,0
46,46,0,0,0,0
47,47,0,0,0,0
48,48,0,0,0,0
49,49,0,0,0,0
50,50,0,0,0,0
51,51,0,0,0,0
52,52,0,0,0,0
53,53,0,0,0,0
54,54,0,0,0,0
55,55,0,0,0,0
56,56,0,0,0,0
57,57,0,0,0,0
58,58,0,0,0,0
59,59,0,0,0,0
60,60,0,0,0,0
61,61,0,0,0,0
62,62,0,0,0,0
63,63,0,0,0,0
64,64,0,0,0,0
65,65,0,0,0,0
66,66,0,0,0,0
67,67,0,0,0,0
68,68,0,0,0,0
69,69,0,0,0,0
70,70,0,0,0,0
71,71,0,0,0,0
72,72,0,0,0,0
73,73,0,0,0,0
74,74,0,0,0,0
75,75,0,0,0,0
76,76,0,0,0,0
77,77,0,0,0,0
78,78,0,0,0,0
79,79,0,0,0,0
80,80,0,0,0,0
81,81,0,0,0,0
82,82,0,0,0,0
83,83,0,0,0,0
84,84,0,0,0,0
85,85,0,0,0,0
86,86,0,0,0,0
87,87,0,0,0,0
88,88,0,0,0,0
89,89,0,0,0,0
90,90,0,0,0,0
91,91,0,0,0,0
92,92,0,0,0,0
93,93,0,0,0,0
94,94,0,0,0,0
95,95,0,0,0,0
96,96,0,0,0,0
97,97,0,0,0,0
98,98,0,0,0,0
99,99,0,0,0,0
