,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,9999,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9999,10,0,0,2.457119302948313e-07,1.2451619750142134e-06,1.5273988303975886e-06,5.454367472956822e-06,8.500335970349358e-06,4.784412604190537e-06
2,2,9999,10,0,0,8.187670835597278e-07,4.14915807148052e-06,5.08963437101564e-06,1.8175171808455905e-05,2.8325019804165348e-05,1.594273240936682e-05
3,3,9998,10,1,1,1.8788864558269149e-06,9.521385336713993e-06,1.1679567091579144e-05,4.170793480701018e-05,6.499955498906318e-05,3.658498808061448e-05
4,4,9997,10,1,1,3.4896655778382736e-06,1.76841184627315e-05,2.1692520650801408e-05,7.746436404784756e-05,0.00012072401124436832,6.794948847207237e-05
5,5,9991,15,6,1,5.643765630170647e-06,2.860016748127939e-05,3.508287535007855e-05,0.00012528155080324154,0.0001952445041508435,0.00010989333478307626
6,6,9991,14,0,0,8.41509978422751e-06,4.264409243253917e-05,5.23100915477952e-05,0.00018680023590918825,0.0002911180393402855,0.000163855737183251
7,7,9987,17,4,1,1.1741543322996457e-05,5.950107207344162e-05,7.298798848345808e-05,0.00026064136123313194,0.00040619542948575185,0.00022862702596405102
8,8,9984,18,3,2,1.5674282355398972e-05,7.943049550406621e-05,9.743475014921392e-05,0.0003479411672792822,0.0005422474438059994,0.00030520387826846066
9,9,9918,82,66,2,2.019120224054828e-05,0.00010232029527253839,0.0001255129071247354,0.0004482087483851253,0.0006985090324429456,0.00039315568591856653
10,10,9916,80,2,1,2.683332621324135e-05,0.00013597971178603007,0.00016680179519408528,0.0005956520772643252,0.0009282914661117366,0.0005224886882494564
11,11,9880,111,36,3,3.606649674853999e-05,0.00018276943357764365,0.0002241971925586115,0.0008006120276402294,0.0012477104358271842,0.0007022735991112012
12,12,9875,109,5,3,4.96604048211653e-05,0.0002516574904317061,0.0003086998834362835,0.0011023725890127447,0.0017179879092437454,0.0009669691922182819
13,13,9853,122,22,4,6.81093325818328e-05,0.0003451486908785186,0.00042338243324133824,0.0015119059452806784,0.0023562234400549957,0.0013261999483562751
14,14,9839,125,14,6,9.210034154383316e-05,0.00046672476602417255,0.0005725157658583107,0.0020444636390350513,0.003186185730449144,0.001793344077366674
15,15,9825,127,14,6,0.00012153200239587492,0.0006158717159118056,0.0007554693746152261,0.0026977941201144634,0.004204365861578888,0.0023664265848941154
16,16,9806,134,19,5,0.0001560457743738997,0.0007907726107514713,0.0009700144920972693,0.0034639384217774066,0.005398360215313413,0.0030384660966576737
17,17,9760,165,46,9,0.00019507291506387184,0.0009885453095470642,0.001212615691689406,0.004330271474822375,0.006748493305834473,0.0037983882689289644
18,18,9723,185,37,9,0.0002385518718365379,0.0012088778901492739,0.0014828903488531512,0.0052954269204467195,0.008252635737032214,0.004644994571482499
19,19,9699,191,24,7,0.0002864049415675882,0.0014513765866729278,0.0017803554440580865,0.0063576798876062305,0.009908099390906895,0.00557677199757544
20,20,9687,181,12,6,0.00033860098870802576,0.0017158836175986845,0.002104817431955948,0.007516339222536019,0.011713807141790359,0.006593114287215116
21,21,9562,281,124,9,0.00039470108517149666,0.0020001746848949497,0.002453547840042688,0.008761661503033086,0.013654574394468362,0.0076854747936588716
22,22,9482,333,80,13,0.00045661476979925954,0.002313926506953442,0.0028384167773082857,0.01013603509229824,0.015796461114688846,0.008891035356996231
23,23,9410,371,71,17,0.0005256686117895633,0.0026638615637160266,0.0032676704865762583,0.011668907465172743,0.018185359595347388,0.010235626446202862
24,24,9358,386,51,16,0.0006041963214406459,0.0030618060913796133,0.00375581581892111,0.013412082836155833,0.020902003895912267,0.011764689212435009
25,25,9261,438,97,18,0.0006936703322197728,0.0035152217470236008,0.004312005741205458,0.015398246607215196,0.02399733244314495,0.013506894340226228
26,26,9091,560,170,20,0.000795872132814007,0.004033136346144726,0.0049473143747946055,0.017666944656064217,0.027532975343280988,0.015496930324019513
27,27,8951,646,139,24,0.0009136808722676808,0.004630140173008388,0.005679639136706828,0.020282088966457022,0.03160853595768817,0.01779085889822278
28,28,8846,688,105,26,0.0010497187235526558,0.005319521268095786,0.0065252800247709575,0.023301887110769248,0.036314727631894556,0.02043973805339389
29,29,8732,728,114,29,0.0012062818323806078,0.006112915506497889,0.007498510380416632,0.026777309436545275,0.041730984888931594,0.023488277496834437
30,30,8620,757,112,38,0.0013848755888052871,0.007017951555045178,0.008608688035820064,0.03074177292330841,0.04790938627951497,0.02696578963164487
31,31,8569,718,51,25,0.0015854956977576847,0.008034607648182342,0.009855786291897596,0.035195182228172056,0.05484978321692548,0.03087219082581643
32,32,8483,706,86,39,0.0018054814276135,0.009149400346825558,0.011223265461845742,0.04007847384531281,0.06246012842976548,0.03515567228885045
33,33,8325,759,158,40,0.0020415228507374965,0.010345556366802192,0.01269055031517937,0.045318173273066024,0.07062591589098409,0.039751784323583325
34,34,8182,789,143,45,0.0022906456530552687,0.011608003168562548,0.014239151868343515,0.05084825603340848,0.07924425003143483,0.04460261217703858
35,35,8081,773,101,38,0.0025499367213785823,0.012921978352224165,0.015850961575810136,0.05660405619904926,0.0882143525096267,0.04965143277745279
36,36,7916,815,165,49,0.0028166245907955043,0.014273437330211344,0.017508751408562107,0.06252405218229036,0.09744034526683792,0.05484428117635647
37,37,7769,834,144,33,0.003089636655682218,0.015656944600326992,0.019205853816621973,0.06858443404757497,0.10688512180947984,0.06016027199036681
38,38,7656,810,113,47,0.0033674832781464053,0.017064951320893678,0.020933008886676978,0.07475213448532395,0.1164971485284856,0.06557039953669455
39,39,7503,822,153,49,0.003648629538364551,0.01848967918095742,0.0226806752230758,0.0809930810076897,0.12622332529895797,0.07104477641939093
40,40,7359,817,144,51,0.003932242231380553,0.019926905857542337,0.02444367344248975,0.08728877794779352,0.13603482762690283,0.07656717877708683
41,41,7100,924,259,51,0.004216992823037065,0.02136989891314223,0.02621374508748194,0.09360973421219985,0.14588569524221057,0.08211173787984351
42,42,6983,889,117,57,0.004504646992546768,0.022827606047663533,0.028001866004284465,0.09999514473643252,0.15583701132674238,0.08771283438581622
43,43,6829,886,154,62,0.004794370746062926,0.024295800940373223,0.02980285190565274,0.10642649634164487,0.16585992409505182,0.09335422907264658
