,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,9999,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9999,10,0,0,2.2136209936471291e-07,2.9883887400341124e-06,1.6602161199973789e-06,0.0,0.0,0.0
2,2,9999,10,0,0,7.376280032069619e-07,9.957979371553248e-06,5.532211272843088e-06,0.0,0.0,0.0
3,3,9998,10,1,1,1.6926905007449682e-06,2.285132480811358e-05,1.269518162128168e-05,0.0,0.0,0.0
4,4,9997,10,1,1,3.1586003362083444e-06,4.2143045436552185e-05,2.341280518234962e-05,0.0,0.0,0.0
5,5,9996,10,1,1,5.148406214199055e-06,6.73457651439118e-05,3.7414317423844816e-05,0.0,0.0,0.0
6,6,9994,11,2,1,7.647268633986959e-06,9.727185817610685e-05,5.403992619923605e-05,0.0,0.0,0.0
7,7,9993,11,1,1,1.0653075332968077e-05,0.00013032834832886134,7.240464464664633e-05,0.0,0.0,0.0
8,8,9981,22,12,1,1.4122386134742964e-05,0.0001647781577708307,9.154342943732338e-05,0.0,0.0,0.0
9,9,9981,20,0,0,1.838199801749675e-05,0.00019894141068952742,0.00011218323226481196,0.0,0.0,0.0
10,10,9972,27,9,1,2.3452051133559204e-05,0.00023133253913069175,0.00013405030043560538,0.0,0.0,0.0
11,11,9972,25,0,0,2.966601273986991e-05,0.00026273217701342096,0.00015921092103643867,0.0,0.0,0.0
12,12,9969,25,3,1,3.699770233550331e-05,0.0002928979053465976,0.00018797794915890784,0.0,0.0,0.0
13,13,9966,25,3,2,4.543981701963152e-05,0.0003235231568185858,0.00022082774297658384,0.0,0.0,0.0
14,14,9961,27,5,3,5.486149671767417e-05,0.0003549402663828757,0.0002571891792577637,0.0,0.0,0.0
15,15,9900,84,61,3,6.509315520045743e-05,0.00038839798286615854,0.0002958676282811481,7.083594120723146e-06,0.0,0.0
16,16,9891,88,9,3,7.751033493964531e-05,0.00042770895143524114,0.0003452721806518794,4.4854901593930354e-05,7.969064972202522e-05,0.0
17,17,9858,114,33,4,9.249401097901761e-05,0.0004749018641291557,0.00041037313747620453,0.00013206210091601912,0.0002921106105713919,0.0
18,18,9840,123,18,3,0.00011141939168257422,0.0005398682666488613,0.0004988393371702374,0.0003214152479153538,0.0007510136147251674,0.0
19,19,9805,147,35,4,0.00013483876488872254,0.0006291767549973031,0.0006185979502284567,0.0006315054189948644,0.001530537073467948,0.0
20,20,9799,140,6,3,0.0001633841105565174,0.0007543556860387401,0.0007768812743909697,0.0011156175767396822,0.0026652625410931293,0.0
21,21,9762,162,37,9,0.00019679865629736528,0.0009194486549400123,0.0009741801456851645,0.0017848505793792216,0.004144892561541816,0.0
22,22,9733,174,29,10,0.0002351927668385334,0.0011339302511967132,0.0012149487080941024,0.00264762743539749,0.005938508825193934,0.0
23,23,9714,173,19,7,0.0002782148204402353,0.0013989754481632788,0.0014949733729475976,0.0037248467370821024,0.007969008620880387,0.0
24,24,9679,186,35,10,0.0003254019327788943,0.0017155299506767224,0.001809450846591532,0.005006284582160685,0.010154545164122099,0.0
25,25,9655,186,24,10,0.000376433174198792,0.002082428928008657,0.0021516520570658264,0.006500498062735787,0.012452875516509239,5.980515755238171e-05
26,26,9635,180,20,11,0.0004308330836988915,0.002493421032104647,0.002510371324908918,0.008182902789263697,0.01481306052624311,0.00019928415511708523
27,27,9614,173,21,8,0.00048804821828497965,0.002938676027496724,0.0028755230115862966,0.010028251249553682,0.017218239348724098,0.00045731235100768096
28,28,9528,230,86,9,0.0005472828752476667,0.0034090336344305343,0.0032361407435883456,0.012003100460981752,0.019683186247597625,0.0008433880901456665
29,29,9482,243,45,16,0.0006094838056894693,0.0038972666101533475,0.0035943184702646896,0.014072941809912353,0.02228862621370574,0.0014075629110738882
30,30,9378,310,102,12,0.0006746635103844798,0.004398408540443423,0.003951092044827397,0.016250096685926096,0.025071467343275845,0.0021459381247638165
31,31,9199,450,179,12,0.0007453929123229113,0.0049168728861719545,0.004318090675276183,0.01855784324105079,0.02810670522275977,0.003065509638372733
32,32,9143,460,56,18,0.0008258941457502698,0.00547438023056926,0.004724089026220525,0.02109091491764196,0.03153521877979322,0.004141012510509146
33,33,9078,472,65,18,0.0009187503072387996,0.0060828040835960535,0.0051877411350991975,0.02389264229945499,0.03541072741822989,0.005329074591786815
34,34,9078,472,0,0,0.0010266876840681336,0.006754608195695561,0.005738133405754673,0.0270333734634907,0.03980136945727319,0.006576198568166937
35,35,9078,472,0,0,0.001148790169896173,0.0074846295924082765,0.006378956280854971,0.030483389636070127,0.04465275786458907,0.007826257327050366
36,36,9078,472,0,0,0.0012821438419229044,0.008255653280765511,0.007103797863279853,0.03417645436421383,0.0498445582820875,0.009026390381495105
37,37,9078,472,0,0,0.0014217173391288596,0.009040282628720248,0.007888890284397215,0.03798943957712102,0.055186455899597094,0.010131017080546333
38,38,9078,472,0,0,0.001561501563811036,0.009806697277378236,0.008700999407965586,0.04177290556587008,0.06045830721117019,0.01110410321391134
39,39,9078,472,0,0,0.0016953637219995874,0.010523132923194258,0.009503160691068362,0.045372814346678,0.06543984438386731,0.011920000625081136
40,40,9078,472,0,0,0.001817701196225882,0.01116122165642496,0.01025942392944992,0.04864757618292904,0.06993316561557975,0.012563228405541828
41,41,9078,472,0,0,0.0019238697704170688,0.011698106970785816,0.01093822947684719,0.051479449523812636,0.07377718454712393,0.013027542744953581
42,42,9078,472,0,0,0.00201040756890875,0.012117475668398428,0.011514439082501044,0.05378068048411975,0.07685485396743297,0.013314588767258167
43,43,9078,472,0,0,0.0020750955320736303,0.01240973893278635,0.011970229854865297,0.05549536099557663,0.07909465077315761,0.013432363833883961
