,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
0,0,9999,10,10,0,0.0,8,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0
1,1,9999,10,0,0,2.951494658196172e-07,0,1.9922591600227416e-06,0,0.0,0,0.0,0,0.0,0,0.0,0
2,2,9999,10,0,0,9.835040042759493e-07,0,6.638652914368832e-06,0,0.0,0,0.0,0,0.0,0,0.0,0
3,3,9998,10,1,1,2.2569206676599577e-06,1,1.5234216538742388e-05,0,0.0,0,0.0,0,0.0,0,0.0,0
4,4,9995,12,3,1,4.199169220535309e-06,3,2.8095363624368122e-05,0,0.0,0,0.0,0,0.0,0,0.0,0
5,5,9993,13,2,1,6.885051757466329e-06,1,4.489717676260787e-05,1,0.0,0,0.0,0,0.0,0,0.0,0
6,6,9992,13,1,1,1.029491859064512e-05,1,6.584403503074927e-05,0,0.0,0,0.0,0,0.0,0,0.0,0
7,7,9990,14,2,1,1.4398395296774846e-05,1,9.020489200975865e-05,0,0.0,1,0.0,0,0.0,0,0.0,0
8,8,9989,13,1,1,1.9108612964008555e-05,1,0.00011746921344992498,0,1.6602161199973789e-06,0,0.0,0,0.0,0,0.0,0
9,9,9974,26,15,2,2.4305937220637448e-05,6,0.0001466752889385357,5,5.532211272843088e-06,1,0.0,2,0.0,1,0.0,0
10,10,9971,27,3,2,3.0037436525549642e-05,2,0.00018165092903515528,1,1.435539774127906e-05,0,1.4167188241446292e-05,0,2.6563549907341742e-05,0,0.0,0
11,11,9969,26,2,1,3.62594913716072e-05,2,0.00022384332649356788,0,2.8945016455192706e-05,0,4.720823846352183e-05,0,8.851568688801671e-05,0,0.0,0
12,12,9946,46,23,2,4.300542149350104e-05,15,0.00027568715220181337,5,5.0109499045126496e-05,2,0.00010833229820002643,1,0.00020312360934082241,0,0.0,0
13,13,9942,46,4,2,5.073488333508404e-05,2,0.0003426240916205133,1,8.077316362158043e-05,1,0.00020687301568059815,0,0.0003746061801479168,0,0.0,0
14,14,9936,48,6,3,5.9551494773027534e-05,5,0.00042588090668202846,0,0.0001225436007361747,0,0.00034287320202422915,0,0.0005986311517918501,1,0.0,0
15,15,9905,74,31,3,6.979254072430313e-05,20,0.0005263424450251984,4,0.00017650593015196587,4,0.0005153072004347341,3,0.0008912053632784451,0,0.0,0
16,16,9887,86,18,2,8.21302370454071e-05,15,0.0006460642211383337,2,0.00024908931725743134,0,0.0007389989267454892,0,0.0012469940129493072,1,0.0,0
17,17,9886,79,1,1,9.714416520133195e-05,1,0.000784171096257317,0,0.00034043180372149727,0,0.0010116180860741874,0,0.0016943871023805054,0,0.0,0
18,18,9855,101,31,6,0.00011510024816875015,20,0.0009384599324767653,5,0.0004516534357474178,2,0.001336199421995005,3,0.0022314962490876844,1,0.0,0
19,19,9846,100,9,3,0.0001366847341745389,7,0.001109960559987598,0,0.0005833718903283994,1,0.00172655015275638,0,0.002884614858429652,0,0.0,1
20,20,9846,100,0,0,0.00016182561174555074,0,0.0012943692097725364,0,0.0007334471791089728,0,0.0021764029730288828,0,0.003645460079121171,0,5.980515755238171e-05,0
21,21,9846,100,0,0,0.00019018110339057698,0,0.0014881153359271356,0,0.0008984411216191964,0,0.0026828572979929605,0,0.004504768821970907,0,0.00019928415511708523,0
22,22,9846,100,0,0,0.00022096789864923283,0,0.00168517569315764,0,0.0010734654751850198,0,0.003231605323557858,0,0.005435449298518737,0,0.00045731235100768096,0
23,23,9846,100,0,0,0.00025302352065946016,0,0.0018785756742696798,0,0.0012521082697039279,0,0.003802463282040036,0,0.006401276984558278,0,0.0008433880901456665,0
24,24,9846,100,0,0,0.0002850247907328952,0,0.0020612590172920334,0,0.0014274880661225124,0,0.004372564757425016,0,0.007362427271638412,0,0.0013477577535215065,0
25,25,9846,100,0,0,0.000315654425870933,0,0.002226803791610753,0,0.0015930006111823218,0,0.004919220784801282,0,0.008280200071761607,0,0.0019466539696467314,0
26,26,9846,100,0,0,0.0003437276386880335,0,0.0023699127560244454,0,0.0017428758700124213,0,0.005422070690375362,0,0.009120451233154674,0,0.002608197287365052,0
27,27,9846,100,0,0,0.0003682736953607781,0,0.002486680026840715,0,0.001872523120713007,0,0.005864455379926949,0,0.009855696106234563,0,0.0032976244203634796,0
28,28,9846,100,0,0,0.00038857680064272905,0,0.002574669967139437,0,0.001978686241094358,0,0.006234096397276727,0,0.010466065468108259,0,0.003981316838265309,0
29,29,9846,100,0,0,0.00040418456793316087,0,0.0026328556206868677,0,0.002059449350165283,0,0.0065232254238539265,0,0.010939373740296689,0,0.004629544598520206,0
30,30,9846,100,0,0,0.000414893156224565,0,0.002661463365085197,0,0.002114136438461051,0,0.006728320250568533,0,0.011270565431488707,0,0.005218060039685313,0
31,31,9846,100,0,0,0.0004207174065905442,0,0.002661764049451719,0,0.0021431446887213556,0,0.006849589123349621,0,0.011460775211714304,0,0.005728765961131625,0
32,32,9846,100,0,0,0.00042185287604100126,0,0.0026358423820168355,0,0.0021477440883476717,0,0.006890320309705892,0,0.011516191924823407,0,0.006149700242281023,0
33,33,9846,100,0,0,0.0004186350532367552,0,0.002586367768451099,0,0.0021298680753683154,0,0.006856186060841723,0,0.011446869522703452,0,0.006474558615391134,0
34,34,9846,100,0,0,0.0004114995192352238,0,0.002516382187661989,0,0.0020919126137332084,0,0.006754564258218597,0,0.011265584754392807,0,0.006701940585395824,0
35,35,9846,100,0,0,0.0004009455134730513,0,0.002429114439545932,0,0.0020365548465924965,0,0.0065939189674264626,0,0.01098680526490987,0,0.006834462444410204,0
36,36,9846,100,0,0,0.0003875043221661309,0,0.0023278252756633463,0,0.0019665975100124676,0,0.006383263515963206,0,0.010625803263614599,0,0.0068778425026725576,0
37,37,9846,100,0,0,0.0003717131177858781,0,0.002215684414426102,0,0.001884841564811611,0,0.006131716435955056,0,0.010197928689980526,0,0.006840030151867033,0
38,38,9846,100,0,0,0.00035409431527994435,0,0.0020956780506590517,0,0.0017939868718069478,0,0.005848151157218907,0,0.009718040874633517,0,0.006730423248488137,0
39,39,9846,100,0,0,0.00033514013491360264,0,0.0019705439755575175,0,0.001696559004645876,0,0.0055409340413781465,0,0.009200087916124599,0,0.006559197466817622,0
40,40,9846,100,0,0,0.00031530183348709356,0,0.0018427306164775217,0,0.0015948592700215302,0,0.005217741540812025,0,0.008656817231275848,0,0.006336756053534493,0
