,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases,perc_above_left
0,0,9999,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,1.0
1,1,9999,2,1,0,0.0,1,0.0,0,0.0,0,0.0,0,2.6563549907341742e-05,0,0.0,0,1.0
2,2,9999,3,1,0,3.689368322745215e-08,1,0.0,0,0.0,0,0.0,0,8.851568688801671e-05,0,0.0,0,1.0
3,3,9999,4,1,0,1.598316837619458e-07,1,0.0,0,0.0,0,0.0,0,0.00020312360934082241,0,0.0,0,1.0
4,4,9999,5,1,0,4.419467672194405e-07,0,0.0,0,0.0,0,0.0,0,0.0003746061801479168,1,0.0,0,1.0
5,5,9999,6,1,0,9.253375261554705e-07,1,0.0,0,0.0,0,0.0,0,0.0006251947016991918,0,0.0,0,1.0
6,6,9999,7,1,0,1.6707222972546137e-06,1,0.0,0,0.0,0,0.0,0,0.0009531575002591201,0,0.0,0,1.0
7,7,9998,8,2,1,2.712432192126199e-06,2,0.0,0,0.0,0,0.0,0,0.001361601935402113,0,0.0,0,1.0
8,8,9997,9,2,1,4.1201482567072804e-06,1,0.0,0,0.0,0,0.0,1,0.001839306123280258,0,0.0,0,1.0
9,9,9967,39,31,1,5.929345900508181e-06,22,0.0,3,0.0,0,7.083594120723146e-06,3,0.0023670055338436006,3,0.0,0,0.994413407821229
10,10,9966,39,2,1,8.949898912849449e-06,2,2.9883887400341124e-06,0,0.0,0,4.4854901593930354e-05,0,0.0030006290104827664,0,0.0,0,0.994413407821229
11,11,9964,40,3,1,1.3479744748238217e-05,1,9.957979371553248e-06,2,0.0,0,0.00012497850679529598,0,0.0037417217854394747,0,0.0,0,0.994413407821229
12,12,9963,39,2,1,2.001335712264506e-05,0,2.484358396813632e-05,1,0.0,0,0.00026239315807997715,1,0.004618606505931753,0,0.0,0,0.994413407821229
13,13,9959,40,5,3,2.8618950819707188e-05,3,4.9777827930932384e-05,1,0.0,1,0.0004664022678567698,0,0.005623694284362877,0,0.0,0,0.994413407821229
14,14,9954,41,5,4,3.918085303734894e-05,3,8.689543771984998e-05,1,1.6602161199973789e-06,0,0.0007330782690878238,1,0.006727983127418575,0,0.0,0,0.994413407821229
15,15,9909,82,46,3,5.139370688622832e-05,38,0.00013729978610704194,5,5.532211272843088e-06,2,0.0010618880370245087,1,0.007888410806572774,0,0.0,0,0.9888268156424581
16,16,9900,86,10,4,6.619183340276697e-05,7,0.00020519028953026573,0,1.601561386127644e-05,1,0.0014479481680288301,2,0.009055621677895248,0,0.0,0,0.9888268156424581
17,17,9844,135,57,5,8.377630236874107e-05,35,0.00029033607397034984,6,3.613744384803318e-05,8,0.001894894002957263,6,0.01018052019912015,2,0.0,0,0.9832402234636871
