,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,9999,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9999,10,0,0,2.951494658196172e-07,0.0,3.3204322399947578e-06,0.0,0.0,0.0
2,2,9999,10,0,0,9.835040042759493e-07,0.0,1.1064422545686176e-05,0.0,0.0,0.0
3,3,9998,10,1,1,2.2569206676599577e-06,0.0,2.539036324256336e-05,0.0,0.0,0.0
4,4,9997,10,1,1,4.199169220535309e-06,0.0,4.682561036469924e-05,0.0,0.0,0.0
5,5,9996,10,1,1,6.811264391011424e-06,0.0,7.482863484768963e-05,0.0,0.0,0.0
6,6,9990,15,6,1,1.0049042589576132e-05,0.0,0.0001080798523984721,0.0,0.0,0.0
7,7,9989,15,1,1,1.3944846179542214e-05,0.0,0.00014812972153328743,0.0,0.0,0.0
8,8,9987,15,2,2,1.843685808128507e-05,0.0,0.00019415128142033294,0.0,0.0,0.0
9,9,9987,13,0,0,2.348942429419756e-05,9.961295800113708e-07,0.00024643639553219255,0.0,0.0,0.0
10,10,9921,76,65,2,2.8975153797086204e-05,3.319326457184416e-06,0.0003038617886902238,0.0,0.0,0.0
11,11,9896,97,25,2,3.62370207993702e-05,1.459001532945079e-05,0.0003778214103979879,5.666875296578517e-05,2.6563549907341742e-05,0.0
12,12,9891,96,5,4,4.619478324992374e-05,4.126748533252045e-05,0.0004720636241086444,0.00021008373621625676,8.851568688801671e-05,0.0
13,13,9884,96,7,3,5.989495934112447e-05,9.004178167565132e-05,0.0005949996575193013,0.0005041415504953885,0.00022968715924816415,0.0
14,14,9878,93,6,3,7.802610059845475e-05,0.0001645454849453266,0.0007497498050999218,0.0009616561335395396,0.00046312186703593354,0.0
15,15,9873,88,5,3,0.00010060854714703555,0.0002643907369635221,0.000934098102178176,0.0015767604635096855,0.0008017547611326725,0.0
16,16,9862,88,11,5,0.00012717945864965634,0.0003857357570052594,0.0011423329487375603,0.0023305514236483093,0.0012392479935190203,0.0
17,17,9849,89,13,6,0.0001570275403505047,0.0005245499414399882,0.0013689992384242958,0.003186729430647371,0.0017836730277604822,0.0
18,18,9828,97,21,6,0.00018935959094160354,0.0006754230808337331,0.0016084212243149818,0.004105631047435769,0.002444420993298803,0.0
19,19,9812,99,16,4,0.00022354218650706212,0.0008348027261867077,0.001858722765090851,0.0050654240697265325,0.0032184920043418805,0.0
20,20,9615,280,196,8,0.0002589606535917271,0.0009997203262601347,0.0021183938543428726,0.006038980251764475,0.004151853379825402,0.0
21,21,9533,342,82,12,0.00029921884282612353,0.0011972790126368938,0.00242897808394509,0.007069863811778981,0.005422284335833079,0.00017941547265714513
22,22,9494,354,39,10,0.0003469401623245587,0.001446022933751742,0.0028139984127853435,0.008193112335119473,0.007089962274227299,0.000717462780456019
23,23,9365,450,128,17,0.0004054627825212691,0.0017704830373134648,0.0033097895181874322,0.009451877249272374,0.009269959075602834,0.0018901156783619768
24,24,9273,501,91,17,0.0004795366740061917,0.0021923466090717084,0.00394382378235494,0.010902708173101591,0.012031219029853121,0.003962967597791295
25,25,9158,568,115,16,0.0005718840356610475,0.00272140606032024,0.004729708370263074,0.012571264950235918,0.01540942766380885,0.007103047610657766
26,26,9089,581,69,24,0.0006856400117608014,0.0033647288247974213,0.005670891964992364,0.01453371012976044,0.019434779083305976,0.011515577926064132
27,27,9004,602,85,22,0.0008218132799644867,0.004117333434262766,0.006754295878368172,0.016823725400769617,0.024041816671320687,0.01727496662018667
28,28,8931,604,73,26,0.0009804705944645863,0.004967666301687909,0.007964385547077903,0.019489873280296836,0.02925219781480628,0.024311984735559903
29,29,8726,730,204,38,0.0011597082200621612,0.0058983301590763895,0.00927985839798264,0.02254561345379484,0.034979431231178554,0.032441448595520325
30,30,8609,759,117,44,0.001359773684378456,0.006910731922703047,0.0106857975479759,0.026074533241984436,0.041270258627976925,0.04133961429805088
31,31,8504,767,105,37,0.0015788356851691766,0.007998449635269796,0.012174319943458904,0.030096049761490128,0.04806488799167375,0.05061482653670219
32,32,8370,796,134,37,0.0018156581829313792,0.009166881474648855,0.013735361493046584,0.03464836853723795,0.05532036843608534,0.059919470215641014
33,33,8250,802,120,49,0.0020689765828211947,0.010414681258590951,0.01536711811230273,0.039691334430161165,0.06306701614349791,0.0688917107547203
34,34,8250,802,0,0,0.0023363882846019006,0.011740650400627923,0.017057079786892564,0.04521169359801766,0.07116062941381819,0.07730258979497248
35,35,8250,802,0,0,0.002612552843088603,0.013121429464426916,0.01877633601235161,0.05107133631064871,0.079465169996283,0.08492387115083433
36,36,8250,802,0,0,0.0028906958664741507,0.014526305202156234,0.02048475556495891,0.05712123915760868,0.08774372847294791,0.09160289160112373
37,37,8250,802,0,0,0.003161934243404388,0.015911058542544657,0.022129426166414865,0.06315438673171497,0.0957191719618634,0.09721761106325091
38,38,8250,802,0,0,0.0034168582823761464,0.017226957751602844,0.023654239616503658,0.0689468965028062,0.10311111102810953,0.10168572782594228
39,39,8250,802,0,0,0.003646611985257194,0.018426841968837728,0.025006639594119095,0.07428373773018485,0.10966610298354243,0.10496523524950549
40,40,8250,802,0,0,0.003843692214927552,0.01946973480677301,0.02614255527968557,0.07897824376345387,0.11517815934609092,0.10705309976351862
41,41,8250,802,0,0,0.0040024302010739045,0.020323741143067703,0.02702933084404157,0.0828843200994032,0.11949972227593426,0.10798184992052758
42,42,8250,802,0,0,0.004119188755883788,0.020967380482683443,0.02764688068661881,0.0859019834946748,0.12254468822332393,0.1078145066923894
43,43,8250,802,0,0,0.004192336832230191,0.021389677244289806,0.02798746627459115,0.08797759281436716,0.12428551964725998,0.1066384976591785
44,44,8250,802,0,0,0.0042220684178135475,0.021589366140716368,0.02805451744356089,0.08910030006233302,0.12474644203713238,0.10455918901164073
45,45,8250,802,0,0,0.004210126528753394,0.02157354238707848,0.027860878280319915,0.08929613151921098,0.12399444006380958,0.10169355954477734
46,46,8250,802,0,0,0.00415948192217978,0.021356029090629555,0.027426785992873706,0.08862086491988858,0.12212939834290823,0.09816439800316508
47,47,8250,802,0,0,0.00407400387041905,0.020955669129211256,0.026777813477281424,0.08715259085647724,0.11927436414940999,0.09409526542671416
48,48,8250,802,0,0,0.00395814891765182,0.020394687433082793,0.025942934616887372,0.08498458396112393,0.11556658381939795,0.0896063446654241
49,49,8250,802,0,0,0.003816683876822799,0.019697217122176782,0.024952811061393763,0.08221888472838958,0.11114969834020917,0.08481120603704831
50,50,8250,802,0,0,0.0036544516913520966,0.018888041145358567,0.023838351841740265,0.07896081362799898,0.1061672790981745,0.07981445115724918
51,51,8250,802,0,0,0.003476183108024124,0.01799156968675527,0.022629562096371455,0.07531450452851406,0.10075773666533279,0.07471015321483439
52,52,8250,802,0,0,0.003286353140404089,0.017031051436408012,0.02135467281802595,0.07137944927297622,0.09505053522818027,0.06958098712943274
53,53,8250,802,0,0,0.0030890787392079946,0.016028002273669732,0.020039527916296842,0.06724798272017168,0.0891635832524845,0.06449793268493242
54,54,8250,802,0,0,0.002888052617344355,0.015001826342727217,0.018707196070832426,0.06300360068505756,0.08320163815216738,0.059520433827287354
55,55,8250,802,0,0,0.002686507521607021,0.013969600406766668,0.017377771056010353,0.058719985544980875,0.0772555511196126,0.05469690441889914
56,56,8250,802,0,0,0.0024872051613999144,0.012945991464060837,0.016068323956186206,0.05446061031404463,0.07140218127610845,0.05006548210861311
57,57,8250,802,0,0,0.0022924443043561933,0.011943278849012771,0.01479297275787584,0.050278797239955736,0.06570482068035051,0.04565494551488288
58,58,8250,802,0,0,0.0021040830795758672,0.01097145460751664,0.013563038271619952,0.046218117943750754,0.06021398950296011,0.04148572411172679
59,59,8250,802,0,0,0.0019235711798672149,0.010038379216509248,0.012387259511218298,0.042313036174079915,0.054968480917277136,0.037570944010063806
60,60,8250,802,0,0,0.001751988345099514,0.009149973271409286,0.011272046050062608,0.038589709490036206,0.049996555927971725,0.03391746557536889
61,61,8250,802,0,0,0.001590086185366575,0.008310429289753597,0.01022174915127169,0.03506688131869513,0.04531720810691707,0.030526880138254657
62,62,8250,802,0,0,0.0014383310307268088,0.007522431079973628,0.009238937421109723,0.031756809016652676,0.04094143620526551,0.027396442769995324
63,63,8250,802,0,0,0.0012969460542601062,0.006787371087306313,0.008324666246509162,0.028666186308367866,0.03687347842579793,0.024519926189986625
64,64,8250,802,0,0,0.0011659513982213744,0.006105558699748674,0.00747873329637767,0.025797029541163335,0.033111975610927775,0.021888387424046567
65,65,8250,802,0,0,0.0010452014377678055,0.005476414662458773,0.006699914887402968,0.02314750652790635,0.029651041757517094,0.019490843978038512
66,66,8250,802,0,0,0.0009344186465726626,0.00489864852322212,0.005986180062788867,0.02071269440237887,0.02648122925794976,0.01731486019854695
67,67,8250,802,0,0,0.0008332237900590669,0.00437041744561156,0.005334880849194292,0.018485259020875392,0.023590383304942963,0.015347047340388009
68,68,8250,802,0,0,0.000741162373002107,0.0038894658205734117,0.00474291839479151,0.01645605317835728,0.02096438523538164,0.01357348282628435
69,69,8250,802,0,0,0.0006577274174364345,0.003453245925422285,0.004206885604634037,0.014614634456659184,0.018587788483556317,0.011980055432549295
70,70,8250,802,0,0,0.0005823787526505727,0.0030590204656937943,0.0037231875322923315,0.012949706074283186,0.016444353514934403,0.01055274381532036
71,71,8250,802,0,0,0.0005145590695046635,0.0027039482316738627,0.003288141209282331,0.011449485840720586,0.014517489846945682,0.009277836035302627
72,72,8250,802,0,0,0.00045370703355999834,0.002385154345576238,0.002898056841449846,0.010102009395357225,0.012790614237168815,0.008142097656418969
73,73,8250,802,0,0,0.0003992677718529322,0.002099786700643245,0.0025493024137399744,0.00889537447497111,0.01124743450853931,0.0071328956779265545
74,74,8250,802,0,0,0.00035070105196135083,0.0018450602285291142,0.002238353755376335,0.00781793312753738,0.009872168435254413,0.006238285085959995
75,75,8250,802,0,0,0.00030748746379183795,0.0016182906002058745,0.00196183205447871,0.006858438676697607,0.008649706755710338,0.005447064239270683
76,76,8250,802,0,0,0.0002691328979326121,0.0014169188880146497,0.001716530697451257,0.006006153925582453,0.007565728810323531,0.004748804681928598
77,77,8250,802,0,0,0.00023517159241038372,0.0012385286082088349,0.0014994331623448178,0.005250926638885712,0.006606778601983832,0.0041338603383679305
78,78,8250,802,0,0,0.00020516799455920447,0.0010808564368496904,0.001307723531091546,0.004583237811836657,0.005760308306800478,0.0035933604193510204
79,79,8250,802,0,0,0.0001787176582121265,0.0009417977567724467,0.001138791013865747,0.0039942276652493724,0.005014695469219153,0.003119189769428289
80,80,8250,802,0,0,0.00015544736986484244,0.0008194080566718167,0.0009902297078468302,0.0034757037279771544,0.004359239332562877,0.00270395982934414
81,81,8250,802,0,0,0.0001350146717651982,0.0007119010702958451,0.000859834648028492,0.0030201348041401714,0.0037841410074169286,0.002340972877790681
82,82,8250,802,0,0,0.00011710692568680229,0.0006176444178214061,0.0007455950532635929,0.0026206340878108182,0.003280471481865754,0.0020241817594482386
83,83,8250,802,0,0,0.00010144003884653418,0.0005351533949745121,0.0006456855288222606,0.0022709341923400706,0.0028401308388466486,0.0017481469011117637
84,84,8250,802,0,0,8.775695324227997e-05,0.0004630834496412356,0.0005584558586252392,0.0019653564108898826,0.0024558014715135167,0.0015079920636433845
85,85,8250,802,0,0,7.582598169967713e-05,0.00040022179112862656,0.0004824199064047467,0.0016987761214769445,0.0021208975785871357,0.0012993599718779288
86,86,8250,802,0,0,6.543905810733121e-05,0.00034547849388053036,0.0004162440451474304,0.001466585894075945,0.0018295127767354834,0.0011183687039528411
87,87,8250,802,0,0,5.6409955601433603e-05,0.00029787738494060114,0.0003587354476661818,0.0012646575475298107,0.0015763672828523626,0.0009615695018078518
88,88,8250,802,0,0,4.8572514699411016e-05,0.0002565469421401183,0.0003088304971345868,0.001089304137511066,0.0013567557912985413,0.0008259064815852005
