,day,edges,num_infected,num_new_infections,num_new_removed,Average deaths,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
0,0,29991,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,29991,10,0,0,2.1398342529312962e-05,2.457119302948313e-07,1.2451619750142134e-06,1.5273988303975886e-06,5.454367472956822e-06,8.500335970349358e-06,4.784412604190537e-06
2,2,29991,10,0,0,7.130406116103111e-05,8.187670835597278e-07,4.14915807148052e-06,5.08963437101564e-06,1.8175171808455905e-05,2.8325019804165348e-05,1.594273240936682e-05
3,3,29984,16,7,1,0.000163626796253763,1.8788864558269149e-06,9.521385336713993e-06,1.1679567091579144e-05,4.170793480701018e-05,6.499955498906318e-05,3.658498808061448e-05
4,4,29981,18,3,1,0.0003167439044687114,3.6370927360151723e-06,1.843121564774003e-05,2.260895994903996e-05,8.073698453162165e-05,0.00012582421282657794,7.08201360345867e-05
5,5,29962,36,19,1,0.0005385613578624802,6.18416826636545e-06,3.133869471917055e-05,3.844213573876745e-05,0.00013727752738290646,0.00021393958322741259,0.00012041585674953447
6,6,29858,137,103,2,0.0008731014773301567,1.0025610583818885e-05,5.080546581638215e-05,6.232137715646268e-05,0.00022255070886992943,0.0003468332130560107,0.00019521501289894075
7,7,29832,157,25,5,0.0015494197105520064,1.7791607335711524e-05,9.016018433549354e-05,0.0001105965029978464,0.00039494201289731306,0.0006154957133119778,0.00034643165386250534
8,8,29788,191,43,9,0.00270680159639357,3.108154027649117e-05,0.00015750782646459759,0.0001932096183050775,0.0006899548674338712,0.00107525725148592,0.0006052083546699007
9,9,29710,254,75,12,0.004585730579126356,5.265682194149588e-05,0.0002668420386750103,0.00032732626433477967,0.0011688877153109727,0.0018216481271239044,0.0010253143275998646
10,10,29552,389,152,17,0.007419238026976459,8.519329450063404e-05,0.00043172283377161056,0.0005295800583302935,0.0018911394895670009,0.0029472383567512067,0.0016588525901541215
11,11,29190,697,331,23,0.011581296546205534,0.00013298519386662004,0.0006739115452958206,0.0008266649052341307,0.0029520345835084096,0.004600585838839476,0.0025894389293296886
12,12,28907,900,241,38,0.017870569633066154,0.0002052033775042979,0.0010398821193022619,0.001275588850804338,0.004555149708267408,0.007098953839742206,0.003995644918730608
13,13,28272,1366,521,55,0.027082260787320844,0.000310978972585606,0.001575907165874923,0.001933112968652178,0.006903179633195621,0.010758231167366806,0.00605526851826655
14,14,27603,1816,532,82,0.04076087115406499,0.00046804710776287314,0.002371860659766951,0.0029094826779887326,0.010389812644954158,0.01619195967066327,0.009113641649587913
15,15,26698,2344,646,118,0.060514173371048086,0.0006948694427536911,0.0035212983214857455,0.004319459673234018,0.015424864726591148,0.02403881533895574,0.013530242980829117
16,16,25289,3132,945,157,0.08836536541942065,0.0010146778648239118,0.0051419493251766,0.006307458421342136,0.02252404242148126,0.03510249885844235,0.019757435301702916
17,17,23837,3779,859,212,0.12689983798294394,0.0014571597824540306,0.007384256639287447,0.009058022313984112,0.03234635335281193,0.05041003787841309,0.0283732809437754
18,18,22256,4314,811,276,0.17852283510935404,0.0020499340243916382,0.010388180563302589,0.012742836001048148,0.04550488635587603,0.07091689810694475,0.039915563612601256
19,19,20416,4778,811,347,0.24543849562528175,0.0028183101773482915,0.014281979155097933,0.017519229381390576,0.06256146920333343,0.09749865766537956,0.0548771022996081
20,20,18205,5204,837,408,0.32922058270977556,0.0037803593787506954,0.019157229136821198,0.023499536577886015,0.08391724897852386,0.1307804825328746,0.07360977156608664
21,21,15886,5493,767,473,0.4306791463672767,0.004945383234550523,0.025061067031406748,0.030741578397340055,0.10977870477624825,0.17108415918336362,0.096294688872231
22,22,13518,5607,664,536,0.5496608535080777,0.006311621058404966,0.03198457044065698,0.0392344100302863,0.14010675249380647,0.21834877716193177,0.12289757077921731
23,23,11343,5446,460,598,0.685010876141889,0.007865812243130836,0.039860540332720684,0.048895600656708525,0.17460703025627922,0.27211558944684217,0.15316021160663626
24,24,9200,5123,354,645,0.834329932106299,0.00958040641885063,0.04854936332810958,0.059553891181953006,0.21266796889342926,0.3314314986456111,0.18654616065494758
25,25,7089,4724,302,642,0.9941743005428759,0.011415860181753383,0.05785065052943087,0.0709634712025186,0.2534117752298999,0.39492851168846366,0.22228544326570174
26,26,5230,4193,196,656,1.1602575474258447,0.013322953458970749,0.06751497585847355,0.0828183780342126,0.29574585126221814,0.46090387382774056,0.259419664228996
27,27,3780,3565,105,623,1.3276879984716177,0.015245516351878702,0.07725769452072914,0.09476944736352785,0.3384233252261735,0.5274144030244098,0.2968551038763125
28,28,2449,2924,92,577,1.4913435473800556,0.0171247329674024,0.08678075296423787,0.10645106679963139,0.3801385889907515,0.592425379796466,0.33344652070547337
29,29,1468,2276,55,485,1.646280260954839,0.018903833330612626,0.09579646546686335,0.11751034182411474,0.41963145016593234,0.653972862631798,0.3680885105821935
30,30,781,1643,22,390,1.7879675961328976,0.020530794324308307,0.10404120133194888,0.12762388541921607,0.4557470881536167,0.7102571262427362,0.39976809844519984
31,31,307,1060,8,299,1.9125631372939493,0.021961494430303576,0.11129137175508032,0.13651742862619337,0.48750608378859833,0.7597517989644946,0.42762616627172767
32,32,69,549,4,181,2.017071925912798,0.023161543272831205,0.11737270116013712,0.14397719338526438,0.5141450319454427,0.8012671553009724,0.4509930772757811
33,33,3,161,0,54,2.09942649849435,0.024107200674562155,0.12216488457839131,0.1498556055878283,0.5351369429461543,0.8339819104124371,0.4694065714299262
34,34,0,5,0,3,2.1584976543912053,0.02478550030081966,0.1256022142240002,0.1540720636758084,0.5501939872416366,0.8574474975527638,0.4826141730200897
35,35,0,0,0,0,2.194053724577529,0.0251937819528781,0.1276712093583803,0.15661003127501527,0.5592571131554681,0.8715718878860362,0.49056408363218035
36,36,0,0,0,0,2.206661537323872,0.02533855438104424,0.1284048535178912,0.15750996819378618,0.5624708033585563,0.8765802498210016,0.49338303926541405
37,37,0,0,0,0,2.1975593926791013,0.025234036681721247,0.12787520294391702,0.1568602634297145,0.560150696480345,0.8729644890476953,0.49134790895081387
38,38,0,0,0,0,2.1685122016548366,0.024900494896116235,0.12618495718330064,0.15478689510522764,0.5527466625610599,0.8614257036318188,0.4848533056112119
39,39,0,0,0,0,2.1216638372193026,0.02436254659283798,0.12345886744495642,0.15144289138405848,0.5408051678033063,0.8428155315206898,0.4743785735153015
40,40,0,0,0,0,2.0593972048362996,0.02364755409214184,0.11983559415407914,0.14699834240348622,0.5249336070104474,0.8180805645823533,0.46045650172933783
41,41,0,0,0,0,1.9842091043772911,0.022784187535892123,0.11546042521111737,0.14163146800451873,0.5057684062975774,0.788212638410107,0.44364534474236816
42,42,0,0,0,0,1.8986039284930598,0.021801204251979876,0.11047909033766018,0.1355210299954795,0.4839479271543876,0.7542066047736232,0.4245050546977815
43,43,0,0,0,0,1.805007818777318,0.02072646303055873,0.10503276585399271,0.12884020467857688,0.46009058513224216,0.7170262307791601,0.4035780877416369
44,44,0,0,0,0,1.7057031071300097,0.019586171330264357,0.0992542598452402,0.12175190331994178,0.4347781391622589,0.6775781561778472,0.3813747458982188
45,45,0,0,0,0,1.6027816471195013,0.01840434939366803,0.09326529652985834,0.1144054409746682,0.40854379587228024,0.6366933545886708,0.35836274252265743
46,46,0,0,0,0,1.4981148936368887,0.017202486679269654,0.08717477520531158,0.10693440079331507,0.3818645829886884,0.5951152478587142,0.33496051247068354
47,47,0,0,0,0,1.3933382147715871,0.01599936171860471,0.08107785736166882,0.09945551421447947,0.3551573504848406,0.5534934740698141,0.31153370442227224
48,48,0,0,0,0,1.2898468199222215,0.014810995359738004,0.07505572973981749,0.09206837031618004,0.3287777326698604,0.5123822700102191,0.2883942704561004
